반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,물품상태,사유
2025-01-26,2025-01-30,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800156,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2023-02-26,2023-03-07,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800157,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,사업종료
2020-07-22,2020-07-27,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800158,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-05-10,2021-05-24,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800159,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2024-11-09,2024-11-16,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800160,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-11-29,2023-12-13,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800162,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-04-18,,badbergjr,박대리,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100171,2021-10-26,632000,2021-10-30,글로벌문화통상대학RC행정팀(ERICA),운용,신품,잉여물품
2026-01-07,2026-01-19,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100172,2021-10-26,632000,2021-10-30,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-12-11,,badbergjr,박대리,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100173,2021-10-26,632000,2021-10-30,글로벌문화통상대학RC행정팀(ERICA),운용,신품,잉여물품
2025-12-10,,badbergjr,박대리,반려,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100179,2021-05-23,8047000,2021-05-31,시설팀(ERICA),운용,중고품,불용결정
2025-02-16,2025-03-02,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100182,2021-05-23,8047000,2021-05-31,시설팀(ERICA),반납,폐품,사용연한경과
2024-12-02,2024-12-14,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100183,2021-05-23,8047000,2021-05-31,시설팀(ERICA),반납,중고품,불용결정
2026-01-23,2026-01-30,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100184,2021-05-23,8047000,2021-05-31,시설팀(ERICA),반납,중고품,불용결정
2020-07-16,2020-07-25,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201900190,2019-04-27,1216000,2019-05-01,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,사업종료
2019-03-01,2019-03-11,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201500192,2015-11-10,4100000,2015-11-13,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2021-08-18,,badbergjr,박대리,반려,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201500194,2015-11-10,4100000,2015-11-13,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,사업종료
2024-10-30,,badbergjr,박대리,대기,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201500195,2015-11-10,4100000,2015-11-13,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,불용결정
2025-07-23,2025-07-28,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202100204,2021-09-08,18365000,2021-09-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-09-28,2023-10-06,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202100207,2021-09-08,18365000,2021-09-19,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2025-12-10,,badbergjr,박대리,대기,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202100209,2021-09-08,18365000,2021-09-19,경상대학RC행정팀(ERICA),운용,신품,잉여물품
2024-03-02,2024-03-12,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202100211,2021-09-08,18365000,2021-09-19,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2025-09-25,2025-10-02,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202200215,2022-04-13,748000,2022-04-27,학생지원팀(ERICA),반납,중고품,불용결정
2025-06-25,2025-07-07,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202200217,2022-04-13,748000,2022-04-27,학생지원팀(ERICA),반납,신품,잉여물품
2024-04-21,2024-05-01,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202200219,2022-04-13,748000,2022-04-27,학생지원팀(ERICA),반납,중고품,사업종료
2024-11-28,2024-12-08,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202200220,2022-04-13,748000,2022-04-27,학생지원팀(ERICA),반납,중고품,불용결정
2024-05-22,2024-05-26,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202200221,2022-04-13,748000,2022-04-27,학생지원팀(ERICA),반납,폐품,사용연한경과
2024-11-03,2024-11-09,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202000226,2020-11-28,2194000,2020-12-05,학생지원팀(ERICA),반납,폐품,사용연한경과
2023-06-17,2023-06-28,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202000227,2020-11-28,2194000,2020-12-05,학생지원팀(ERICA),반납,폐품,사용연한경과
2024-04-06,2024-04-09,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300229,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-06-30,2025-07-03,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300232,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-02-08,2025-02-20,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300235,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2024-10-20,2024-10-28,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300240,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2024-07-22,2024-08-03,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300243,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-04-14,2025-04-24,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300244,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-12-31,2026-01-03,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300245,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,신품,잉여물품
2025-03-23,2025-03-31,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300249,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-08-27,,badbergjr,박대리,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300251,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2025-03-30,2025-04-04,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300252,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2025-03-08,2025-03-14,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300258,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,중고품,사업종료
2025-02-05,2025-02-18,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300260,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2024-12-20,2024-12-23,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300267,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-11-17,2025-11-30,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300269,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2024-04-23,2024-05-05,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300270,2023-01-20,8963000,2023-01-24,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-09-30,2025-10-11,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201700274,2017-07-21,978000,2017-07-28,학생지원팀(ERICA),반납,정비필요품,고장/파손
2023-04-21,2023-05-03,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201700277,2017-07-21,978000,2017-07-28,학생지원팀(ERICA),반납,중고품,사업종료
2023-01-06,2023-01-11,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600280,2016-06-05,6739000,2016-06-14,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2021-01-10,2021-01-16,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600281,2016-06-05,6739000,2016-06-14,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2021-05-13,2021-05-21,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600282,2016-06-05,6739000,2016-06-14,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-05-03,2025-05-13,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600283,2016-06-05,6739000,2016-06-14,글로벌문화통상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2021-08-01,2021-08-12,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600285,2016-06-05,6739000,2016-06-14,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2022-01-11,2022-01-16,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600286,2016-06-05,6739000,2016-06-14,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2023-10-20,2023-10-23,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700287,2017-05-13,7229000,2017-05-26,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-12-09,2022-12-13,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700289,2017-05-13,7229000,2017-05-26,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-05-25,2022-06-07,badbergjr,박대리,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201600291,2016-04-23,455000,2016-05-02,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2019-08-09,2019-08-22,badbergjr,박대리,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201600292,2016-04-23,455000,2016-05-02,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2026-01-27,,badbergjr,박대리,대기,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201600293,2016-04-23,455000,2016-05-02,경상대학RC행정팀(ERICA),운용,중고품,사업종료
2025-04-07,,badbergjr,박대리,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202200310,2022-04-18,2571000,2022-04-23,글로벌문화통상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2023-12-11,2023-12-18,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202200311,2022-04-18,2571000,2022-04-23,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,사업종료
2024-02-16,2024-02-23,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201900328,2019-12-09,2130000,2019-12-12,학생지원팀(ERICA),반납,폐품,사용연한경과
2019-02-24,2019-03-01,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500341,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2017-10-12,2017-10-21,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500342,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2024-10-04,2024-10-08,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500343,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2022-04-17,2022-04-24,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500344,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2022-08-16,2022-08-27,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500345,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2016-11-29,2016-12-11,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500346,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2021-08-19,2021-08-28,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500347,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2018-01-15,2018-01-27,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500348,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2021-02-22,2021-02-25,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500349,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,신품,잉여물품
2024-02-22,2024-03-06,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500350,2015-07-02,17398000,2015-07-14,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-12-09,,badbergjr,박대리,대기,4322260926066170,"라우터, Netgear, (US)PR60X",M201900351,2019-06-18,3293000,2019-06-23,학생지원팀(ERICA),운용,정비필요품,고장/파손
2022-10-05,2022-10-14,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201900352,2019-06-18,3293000,2019-06-23,학생지원팀(ERICA),반납,신품,잉여물품
2020-11-03,2020-11-07,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201900355,2019-06-18,3293000,2019-06-23,학생지원팀(ERICA),반납,정비필요품,고장/파손
2025-04-29,2025-05-04,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201900356,2019-06-18,3293000,2019-06-23,학생지원팀(ERICA),반납,정비필요품,고장/파손
2021-12-13,2021-12-23,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800357,2018-12-05,5942000,2018-12-09,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,사업종료
2022-06-17,2022-06-25,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800361,2018-12-05,5942000,2018-12-09,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-10-07,2025-10-15,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800362,2018-12-05,5942000,2018-12-09,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2023-04-29,2023-05-04,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800363,2018-12-05,5942000,2018-12-09,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
