불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2025-01-31,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600023,2016-02-14,4784000,2016-02-21,,운용,6,폐품,고장/파손
2020-11-01,2020-11-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600024,2016-02-14,4784000,2016-02-21,,불용,6,불용품,수리비용과다
2019-12-29,2020-01-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600025,2016-02-14,4784000,2016-02-21,,불용,6,폐품,고장/파손
2019-01-20,2019-02-19,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600026,2016-02-14,4784000,2016-02-21,,불용,6,불용품,수리비용과다
2021-05-30,2021-06-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500032,2015-06-15,5370000,2015-06-29,,불용,6,불용품,수리비용과다
2025-12-05,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500033,2015-06-15,5370000,2015-06-29,,운용,6,불용품,수리비용과다
2019-12-31,2020-01-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500034,2015-06-15,5370000,2015-06-29,,불용,6,불용품,수리비용과다
2019-09-08,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M201500035,2015-06-15,5370000,2015-06-29,,운용,6,불용품,수리비용과다
2019-03-06,2019-03-31,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500036,2015-06-15,5370000,2015-06-29,,불용,6,폐품,고장/파손
2025-06-10,2025-07-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100038,2021-07-17,6035000,2021-07-21,,불용,6,폐품,고장/파손
2025-05-22,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202100039,2021-07-17,6035000,2021-07-21,,운용,6,불용품,수리비용과다
2025-02-12,2025-03-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100040,2021-07-17,6035000,2021-07-21,,불용,6,폐품,고장/파손
2025-09-13,2025-10-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100041,2021-07-17,6035000,2021-07-21,,불용,6,불용품,노후화(성능저하)
2022-08-04,2022-08-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800043,2018-02-20,3408000,2018-03-04,,불용,6,불용품,노후화(성능저하)
2022-12-11,2023-01-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800044,2018-02-20,3408000,2018-03-04,,불용,6,불용품,노후화(성능저하)
2021-08-12,2021-09-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700050,2017-11-20,6200000,2017-11-27,,불용,6,불용품,노후화(성능저하)
2025-09-18,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700051,2017-11-20,6200000,2017-11-27,,운용,6,불용품,노후화(성능저하)
2024-12-01,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700052,2017-11-20,6200000,2017-11-27,,운용,6,불용품,노후화(성능저하)
2021-05-21,2021-06-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700053,2017-11-20,6200000,2017-11-27,,불용,6,불용품,노후화(성능저하)
2021-03-27,2021-04-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700054,2017-11-20,6200000,2017-11-27,,불용,6,폐품,고장/파손
2026-01-20,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600058,2016-02-11,2146000,2016-02-16,,운용,6,폐품,고장/파손
2020-05-14,2020-06-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600059,2016-02-11,2146000,2016-02-16,,불용,6,폐품,고장/파손
2022-09-10,2022-10-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700065,2017-12-04,3417000,2017-12-16,,불용,6,불용품,노후화(성능저하)
2025-04-26,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700066,2017-12-04,3417000,2017-12-16,,운용,6,폐품,고장/파손
2020-11-03,2020-11-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700067,2017-12-04,3417000,2017-12-16,,불용,6,폐품,고장/파손
2025-04-13,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201800071,2018-08-11,3216000,2018-08-19,,운용,6,불용품,수리비용과다
2024-02-20,2024-03-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800072,2018-08-11,3216000,2018-08-19,,불용,6,불용품,노후화(성능저하)
2025-02-22,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201800073,2018-08-11,3216000,2018-08-19,,운용,6,불용품,노후화(성능저하)
2019-02-06,2019-02-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500078,2015-09-12,2464000,2015-09-19,,불용,6,불용품,수리비용과다
2025-05-04,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500079,2015-09-12,2464000,2015-09-19,,운용,6,불용품,수리비용과다
2025-11-09,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202200080,2022-02-17,6225000,2022-03-02,,운용,6,폐품,고장/파손
2025-11-13,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202200081,2022-02-17,6225000,2022-03-02,,운용,6,폐품,고장/파손
2025-11-30,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202200082,2022-02-17,6225000,2022-03-02,,운용,6,불용품,수리비용과다
2025-02-23,2025-03-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200083,2022-02-17,6225000,2022-03-02,,불용,6,불용품,노후화(성능저하)
2020-05-24,2020-06-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600085,2016-03-21,6150000,2016-03-28,,불용,6,불용품,수리비용과다
2021-05-24,2021-06-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600086,2016-03-21,6150000,2016-03-28,,불용,6,폐품,고장/파손
2025-03-05,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600087,2016-03-21,6150000,2016-03-28,,운용,6,불용품,노후화(성능저하)
2020-09-16,2020-10-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600088,2016-03-21,6150000,2016-03-28,,불용,6,불용품,노후화(성능저하)
2020-10-13,2020-11-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600089,2016-03-21,6150000,2016-03-28,,불용,6,불용품,수리비용과다
2020-07-13,2020-08-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500094,2015-09-21,5645000,2015-09-28,,불용,6,폐품,고장/파손
2019-11-11,2019-12-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500095,2015-09-21,5645000,2015-09-28,,불용,6,불용품,노후화(성능저하)
2024-10-14,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500096,2015-09-21,5645000,2015-09-28,,운용,6,폐품,고장/파손
2019-07-09,2019-07-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500097,2015-09-21,5645000,2015-09-28,,불용,6,폐품,고장/파손
2018-10-28,2018-11-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500098,2015-09-21,5645000,2015-09-28,,불용,6,폐품,고장/파손
2026-02-02,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202000099,2020-09-11,2674000,2020-09-23,,운용,6,폐품,고장/파손
2025-02-21,2025-03-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202000100,2020-09-11,2674000,2020-09-23,,불용,6,불용품,노후화(성능저하)
2022-01-29,2022-02-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800101,2018-05-20,4800000,2018-05-24,,불용,6,폐품,고장/파손
2023-12-18,2024-01-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800102,2018-05-20,4800000,2018-05-24,,불용,6,불용품,수리비용과다
2022-02-18,2022-03-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800103,2018-05-20,4800000,2018-05-24,,불용,6,불용품,노후화(성능저하)
2022-02-18,2022-03-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800104,2018-05-20,4800000,2018-05-24,,불용,6,불용품,수리비용과다
2019-12-04,2020-01-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600106,2016-01-27,1204000,2016-02-01,,불용,6,폐품,고장/파손
2020-11-24,2020-12-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700108,2017-02-16,4504000,2017-03-01,,불용,6,불용품,노후화(성능저하)
2021-01-20,2021-02-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700109,2017-02-16,4504000,2017-03-01,,불용,6,폐품,고장/파손
2026-02-02,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700110,2017-02-16,4504000,2017-03-01,,운용,6,불용품,노후화(성능저하)
2025-07-27,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700111,2017-02-16,4504000,2017-03-01,,운용,6,불용품,수리비용과다
2023-07-10,2023-07-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200112,2022-06-26,4089000,2022-07-08,,불용,6,폐품,고장/파손
2025-05-22,2025-06-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200114,2022-06-26,4089000,2022-07-08,,불용,6,불용품,노후화(성능저하)
2025-06-09,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700115,2017-01-10,6010000,2017-01-20,,운용,6,불용품,수리비용과다
2020-08-31,2020-09-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700116,2017-01-10,6010000,2017-01-20,,불용,6,불용품,노후화(성능저하)
2022-01-09,2022-02-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700117,2017-01-10,6010000,2017-01-20,,불용,6,폐품,고장/파손
2022-06-10,2022-07-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700118,2017-01-10,6010000,2017-01-20,,불용,6,폐품,고장/파손
2021-07-03,2021-07-30,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700119,2017-01-10,6010000,2017-01-20,,불용,6,불용품,노후화(성능저하)
2021-09-20,2021-10-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700121,2017-04-14,4420000,2017-04-23,,불용,6,불용품,노후화(성능저하)
2024-11-13,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700122,2017-04-14,4420000,2017-04-23,,운용,6,불용품,노후화(성능저하)
2020-09-12,2020-10-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700123,2017-04-14,4420000,2017-04-23,,불용,6,폐품,고장/파손
2024-12-01,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700124,2017-04-14,4420000,2017-04-23,,운용,6,불용품,수리비용과다
2025-08-24,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700127,2017-10-16,5985000,2017-10-24,,운용,6,불용품,수리비용과다
2022-03-08,2022-03-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700128,2017-10-16,5985000,2017-10-24,,불용,6,불용품,노후화(성능저하)
2021-07-24,2021-08-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700129,2017-10-16,5985000,2017-10-24,,불용,6,불용품,노후화(성능저하)
2021-09-20,2021-10-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700130,2017-10-16,5985000,2017-10-24,,불용,6,불용품,수리비용과다
2021-11-03,2021-11-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700131,2017-10-16,5985000,2017-10-24,,불용,6,불용품,노후화(성능저하)
2025-06-02,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900134,2019-01-25,6245000,2019-02-02,,운용,6,폐품,고장/파손
2024-04-04,2024-04-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900135,2019-01-25,6245000,2019-02-02,,불용,6,불용품,수리비용과다
2022-11-28,2022-12-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900136,2019-01-25,6245000,2019-02-02,,불용,6,불용품,수리비용과다
2022-09-11,2022-09-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900137,2019-01-25,6245000,2019-02-02,,불용,6,불용품,노후화(성능저하)
2023-10-09,2023-11-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900138,2019-01-25,6245000,2019-02-02,,불용,6,불용품,수리비용과다
2021-12-04,2021-12-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700139,2017-01-19,1148000,2017-01-31,,불용,6,폐품,고장/파손
2020-01-01,2020-01-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500145,2015-10-11,1192000,2015-10-22,,불용,6,폐품,고장/파손
2021-08-03,2021-08-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700151,2017-07-01,4852000,2017-07-14,,불용,6,폐품,고장/파손
2022-06-15,2022-07-01,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700152,2017-07-01,4852000,2017-07-14,,불용,6,불용품,수리비용과다
2022-11-17,2022-12-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700153,2017-07-01,4852000,2017-07-14,,불용,6,불용품,수리비용과다
2026-01-30,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700154,2017-07-01,4852000,2017-07-14,,운용,6,불용품,노후화(성능저하)
2022-09-05,2022-09-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800156,2018-07-11,6000000,2018-07-23,,불용,6,폐품,고장/파손
2023-01-11,2023-02-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800157,2018-07-11,6000000,2018-07-23,,불용,6,불용품,노후화(성능저하)
2024-12-07,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201800158,2018-07-11,6000000,2018-07-23,,운용,6,폐품,고장/파손
2022-04-03,2022-04-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800159,2018-07-11,6000000,2018-07-23,,불용,6,폐품,고장/파손
2023-04-22,2023-05-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800160,2018-07-11,6000000,2018-07-23,,불용,6,폐품,고장/파손
2025-04-08,2025-04-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900161,2019-10-10,4348000,2019-10-19,,불용,6,불용품,노후화(성능저하)
2025-12-15,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900162,2019-10-10,4348000,2019-10-19,,운용,6,폐품,고장/파손
2024-06-18,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M201900163,2019-10-10,4348000,2019-10-19,,운용,6,불용품,수리비용과다
2025-04-18,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900164,2019-10-10,4348000,2019-10-19,,운용,6,폐품,고장/파손
2021-12-07,2021-12-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700165,2017-01-08,1069000,2017-01-21,,불용,6,폐품,고장/파손
2024-12-27,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900169,2019-09-28,5056000,2019-10-09,,운용,6,불용품,수리비용과다
2023-06-29,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M201900170,2019-09-28,5056000,2019-10-09,,운용,6,폐품,고장/파손
2026-01-21,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900172,2019-09-28,5056000,2019-10-09,,운용,6,폐품,고장/파손
2020-05-11,2020-06-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600175,2016-09-27,3507000,2016-10-08,,불용,6,불용품,수리비용과다
2020-11-18,2020-12-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600176,2016-09-27,3507000,2016-10-08,,불용,6,폐품,고장/파손
2022-04-21,2022-05-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600177,2016-09-27,3507000,2016-10-08,,불용,6,폐품,고장/파손
2023-03-17,2023-04-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900181,2019-04-05,2242000,2019-04-17,,불용,6,불용품,노후화(성능저하)
2021-01-26,2021-02-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700183,2017-03-22,5072000,2017-04-04,,불용,6,폐품,고장/파손
2021-12-10,2022-01-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700184,2017-03-22,5072000,2017-04-04,,불용,6,불용품,노후화(성능저하)
2021-01-25,2021-02-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700185,2017-03-22,5072000,2017-04-04,,불용,6,불용품,노후화(성능저하)
2020-04-14,2020-04-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700186,2017-03-22,5072000,2017-04-04,,불용,6,불용품,수리비용과다
2025-12-27,2026-01-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300188,2023-01-04,2474000,2023-01-16,,불용,6,불용품,노후화(성능저하)
2025-12-10,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900189,2019-10-05,6210000,2019-10-13,,운용,6,불용품,수리비용과다
2024-07-27,2024-08-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900190,2019-10-05,6210000,2019-10-13,,불용,6,불용품,수리비용과다
2023-07-07,2023-07-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900191,2019-10-05,6210000,2019-10-13,,불용,6,불용품,수리비용과다
2025-08-21,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900192,2019-10-05,6210000,2019-10-13,,운용,6,불용품,노후화(성능저하)
2024-08-29,2024-09-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900193,2019-10-05,6210000,2019-10-13,,불용,6,폐품,고장/파손
2025-11-18,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500194,2015-09-13,4288000,2015-09-16,,운용,6,불용품,노후화(성능저하)
2020-05-05,2020-05-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500195,2015-09-13,4288000,2015-09-16,,불용,6,불용품,노후화(성능저하)
2019-12-30,2020-01-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500196,2015-09-13,4288000,2015-09-16,,불용,6,폐품,고장/파손
2025-02-04,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500197,2015-09-13,4288000,2015-09-16,,운용,6,폐품,고장/파손
2020-12-27,2021-01-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600200,2016-10-10,5810000,2016-10-16,,불용,6,불용품,노후화(성능저하)
2021-09-02,2021-10-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600201,2016-10-10,5810000,2016-10-16,,불용,6,폐품,고장/파손
2025-03-07,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600202,2016-10-10,5810000,2016-10-16,,운용,6,폐품,고장/파손
2021-01-08,2021-01-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600203,2016-10-10,5810000,2016-10-16,,불용,6,불용품,수리비용과다
2019-12-31,2020-01-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600204,2016-10-10,5810000,2016-10-16,,불용,6,불용품,노후화(성능저하)
2025-11-19,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202400205,2024-02-23,1197000,2024-02-27,,반납,6,신품,구형화
2023-08-10,2023-09-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800206,2018-11-23,5012000,2018-11-28,,불용,6,불용품,수리비용과다
2023-10-13,2023-11-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800207,2018-11-23,5012000,2018-11-28,,불용,6,불용품,노후화(성능저하)
2022-07-04,2022-07-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800208,2018-11-23,5012000,2018-11-28,,불용,6,불용품,수리비용과다
2022-10-25,2022-11-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800209,2018-11-23,5012000,2018-11-28,,불용,6,불용품,수리비용과다
2019-10-19,2019-11-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600211,2016-06-09,3219000,2016-06-14,,불용,6,불용품,노후화(성능저하)
2019-03-19,2019-04-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600212,2016-06-09,3219000,2016-06-14,,불용,6,불용품,수리비용과다
2019-09-16,2019-10-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600213,2016-06-09,3219000,2016-06-14,,불용,6,불용품,수리비용과다
2020-08-14,2020-09-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600215,2016-12-04,6030000,2016-12-09,,불용,6,불용품,수리비용과다
2022-07-01,2022-07-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600216,2016-12-04,6030000,2016-12-09,,불용,6,폐품,고장/파손
2020-06-18,2020-07-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600217,2016-12-04,6030000,2016-12-09,,불용,6,폐품,고장/파손
2025-09-06,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600218,2016-12-04,6030000,2016-12-09,,운용,6,폐품,고장/파손
2021-10-21,2021-11-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600219,2016-12-04,6030000,2016-12-09,,불용,6,불용품,노후화(성능저하)
2022-11-22,2022-12-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200221,2022-05-14,4868000,2022-05-25,,불용,6,중고품,공용전환
2024-11-27,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700224,2017-11-16,2280000,2017-11-24,,운용,6,불용품,노후화(성능저하)
2021-07-07,2021-08-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700225,2017-11-16,2280000,2017-11-24,,불용,6,불용품,노후화(성능저하)
2018-07-08,2018-08-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500227,2015-07-02,2060000,2015-07-06,,불용,6,불용품,수리비용과다
2018-12-15,2019-01-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500228,2015-07-02,2060000,2015-07-06,,불용,6,불용품,노후화(성능저하)
2023-05-28,2023-06-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900231,2019-02-03,3753000,2019-02-15,,불용,6,폐품,고장/파손
2023-03-24,2023-04-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900232,2019-02-03,3753000,2019-02-15,,불용,6,폐품,고장/파손
2023-08-05,2023-08-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900233,2019-02-03,3753000,2019-02-15,,불용,6,폐품,고장/파손
2025-04-27,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500237,2015-05-24,1038000,2015-05-30,,운용,6,폐품,고장/파손
2024-07-19,2024-08-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202000238,2020-10-13,3831000,2020-10-19,,불용,6,폐품,고장/파손
2024-03-19,2024-04-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202000239,2020-10-13,3831000,2020-10-19,,불용,6,폐품,고장/파손
2022-02-09,2022-02-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700246,2017-12-08,6120000,2017-12-14,,불용,6,폐품,고장/파손
2020-12-24,2021-01-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700247,2017-12-08,6120000,2017-12-14,,불용,6,불용품,노후화(성능저하)
2024-11-17,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700248,2017-12-08,6120000,2017-12-14,,운용,6,불용품,노후화(성능저하)
2022-10-30,2022-11-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700249,2017-12-08,6120000,2017-12-14,,불용,6,불용품,수리비용과다
2024-12-29,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700250,2017-12-08,6120000,2017-12-14,,운용,6,불용품,노후화(성능저하)
2025-08-16,2025-09-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300252,2023-02-15,2310000,2023-02-28,,불용,6,불용품,노후화(성능저하)
