처분일자,처분확정일자,처분정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,불용일자,내용연수,정리일자
2017-11-29,2018-01-04,매각,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201700873,2017-08-05,2281000,매각,중고품,사업종료,2017-11-26,5,2017-08-13
2022-09-16,2022-11-23,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100881,2021-11-01,6413000,폐기,정비필요품,고장/파손,2022-09-04,10,2021-11-10
2022-08-27,2022-10-10,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100900,2021-11-01,6413000,폐기,폐품,사용연한경과,2022-08-19,10,2021-11-10
2022-03-17,2022-05-17,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100915,2021-11-01,6413000,폐기,정비필요품,고장/파손,2022-03-12,10,2021-11-10
2016-10-11,2016-11-15,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600973,2016-03-24,12913000,폐기,폐품,사용연한경과,2016-10-03,10,2016-04-07
2016-07-26,2016-10-05,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600975,2016-03-24,12913000,폐기,폐품,직권 불용(파손/노후),2016-07-19,10,2016-04-07
2017-03-22,2017-05-16,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600977,2016-03-24,12913000,폐기,정비필요품,고장/파손,2017-03-08,10,2016-04-07
2016-11-06,2016-12-27,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600995,2016-03-24,12913000,폐기,정비필요품,고장/파손,2016-10-24,10,2016-04-07
2019-05-18,2019-08-03,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201801010,2018-07-23,3682000,폐기,폐품,사용연한경과,2019-05-06,6,2018-07-29
2019-08-04,2019-09-10,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201801011,2018-07-23,3682000,폐기,폐품,사용연한경과,2019-07-31,6,2018-07-29
2021-07-08,2021-08-10,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202001029,2020-08-23,9870000,폐기,폐품,사용연한경과,2021-07-07,10,2020-08-26
2021-10-05,2021-12-28,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202001048,2020-08-23,9870000,폐기,폐품,사용연한경과,2021-09-24,10,2020-08-26
2021-02-09,2021-03-27,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202001063,2020-08-23,9870000,폐기,폐품,사용연한경과,2021-02-01,10,2020-08-26
2019-04-05,2019-06-26,폐기,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201801110,2018-08-23,12239000,폐기,폐품,사용연한경과,2019-03-23,6,2018-08-30
2016-08-14,2016-09-17,매각,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201501116,2015-11-09,266000,매각,중고품,불용결정,2016-07-31,5,2015-11-19
2016-11-14,2017-01-06,도난,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201601119,2016-04-06,6128000,도난,폐품,사용연한경과,2016-11-07,10,2016-04-14
2020-01-21,2020-03-06,매각,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201801140,2018-12-05,2214000,매각,중고품,불용결정,2020-01-08,5,2018-12-19
2017-10-27,2017-12-28,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701144,2017-07-02,15519000,폐기,폐품,직권 불용(파손/노후),2017-10-14,10,2017-07-16
2018-04-03,2018-06-08,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701151,2017-07-02,15519000,폐기,정비필요품,고장/파손,2018-03-23,10,2017-07-16
2018-03-25,2018-05-26,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701157,2017-07-02,15519000,매각,중고품,불용결정,2018-03-21,10,2017-07-16
2017-11-08,2017-12-23,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701168,2017-07-02,15519000,폐기,폐품,직권 불용(파손/노후),2017-11-02,10,2017-07-16
2018-06-10,2018-08-13,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701173,2017-07-02,15519000,폐기,폐품,사용연한경과,2018-06-09,10,2017-07-16
2018-11-02,2019-01-31,폐기,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201801198,2018-04-26,3209000,폐기,폐품,사용연한경과,2018-10-20,5,2018-05-03
2016-06-29,2016-08-02,폐기,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201501218,2015-08-18,2869000,폐기,폐품,사용연한경과,2016-06-15,5,2015-08-26
2016-06-24,2016-08-27,폐기,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201501225,2015-08-18,2869000,폐기,폐품,사용연한경과,2016-06-22,5,2015-08-26
2016-11-28,2017-02-22,폐기,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201601230,2016-05-01,2616000,폐기,중고품,사업종료,2016-11-15,5,2016-05-04
2020-06-05,2020-09-02,폐기,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201901237,2019-12-15,998000,폐기,정비필요품,고장/파손,2020-05-24,10,2019-12-21
2017-12-18,2018-03-10,폐기,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201701242,2017-01-13,1261000,폐기,폐품,사용연한경과,2017-12-04,10,2017-01-19
2017-08-05,2017-09-16,폐기,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201701244,2017-01-13,1261000,폐기,정비필요품,고장/파손,2017-07-27,10,2017-01-19
2016-05-07,2016-06-21,매각,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201501256,2015-06-29,1308000,매각,중고품,불용결정,2016-05-06,5,2015-07-10
2019-05-27,2019-08-15,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201801314,2018-10-03,1846000,폐기,폐품,사용연한경과,2019-05-21,5,2018-10-13
2019-02-11,2019-04-01,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201801331,2018-06-16,8400000,폐기,폐품,사용연한경과,2019-02-10,10,2018-06-25
2019-03-27,2019-06-23,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201801347,2018-07-12,510000,폐기,정비필요품,고장/파손,2019-03-17,5,2018-07-22
2018-11-24,2019-01-07,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201801364,2018-08-02,6307000,폐기,정비필요품,고장/파손,2018-11-13,10,2018-08-09
2019-02-12,2019-03-22,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201801376,2018-08-02,6307000,폐기,폐품,사용연한경과,2019-02-02,10,2018-08-09
2025-10-08,,폐기,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201801382,2018-08-02,6307000,폐기,정비필요품,고장/파손,2018-12-24,10,2018-08-09
2019-12-03,2020-02-15,폐기,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201901398,2019-01-16,6914000,폐기,폐품,사용연한경과,2019-11-19,6,2019-01-21
2016-03-30,2016-06-26,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201501410,2015-04-14,1573000,폐기,폐품,사용연한경과,2016-03-17,5,2015-04-19
2015-06-08,2015-08-20,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501441,2015-03-18,14610000,폐기,폐품,직권 불용(파손/노후),2015-06-04,10,2015-03-30
2016-01-10,2016-03-14,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501442,2015-03-18,14610000,폐기,폐품,사용연한경과,2015-12-30,10,2015-03-30
2015-08-25,2015-11-10,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501447,2015-03-18,14610000,폐기,폐품,직권 불용(파손/노후),2015-08-16,10,2015-03-30
2015-11-18,2016-01-04,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501450,2015-03-18,14610000,폐기,정비필요품,고장/파손,2015-11-17,10,2015-03-30
2015-12-23,2016-01-22,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501465,2015-03-18,14610000,폐기,폐품,사용연한경과,2015-12-15,10,2015-03-30
2015-06-21,2015-07-22,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501467,2015-03-18,14610000,폐기,폐품,직권 불용(파손/노후),2015-06-07,10,2015-03-30
2016-02-23,2016-04-23,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501472,2015-03-18,14610000,폐기,폐품,사용연한경과,2016-02-16,10,2015-03-30
2015-12-04,2016-01-31,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201501475,2015-03-18,14610000,폐기,폐품,사용연한경과,2015-11-30,10,2015-03-30
2018-07-15,2018-09-09,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201701487,2017-12-17,867000,폐기,폐품,사용연한경과,2018-07-08,5,2017-12-21
2015-12-27,2016-02-05,폐기,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201501545,2015-08-25,1895000,폐기,폐품,직권 불용(파손/노후),2015-12-14,10,2015-08-28
2016-02-06,2016-04-10,폐기,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201501548,2015-08-25,1895000,폐기,폐품,사용연한경과,2016-01-27,10,2015-08-28
2019-04-26,2019-06-08,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201901562,2019-01-03,1369000,폐기,정비필요품,고장/파손,2019-04-25,6,2019-01-11
2020-09-28,2020-12-01,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M202001572,2020-02-02,4035000,폐기,폐품,사용연한경과,2020-09-27,6,2020-02-08
2021-01-17,2021-03-18,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M202001573,2020-02-02,4035000,폐기,폐품,사용연한경과,2021-01-11,6,2020-02-08
2018-02-07,2018-03-31,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701592,2017-09-08,10043000,폐기,폐품,사용연한경과,2018-01-26,10,2017-09-20
2018-11-03,2018-12-23,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701595,2017-09-08,10043000,폐기,폐품,사용연한경과,2018-10-24,10,2017-09-20
2017-11-29,2018-01-21,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701598,2017-09-08,10043000,폐기,폐품,직권 불용(파손/노후),2017-11-26,10,2017-09-20
2017-12-17,2018-01-19,도난,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701601,2017-09-08,10043000,도난,폐품,직권 불용(파손/노후),2017-12-11,10,2017-09-20
2018-10-19,2018-12-17,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701610,2017-09-08,10043000,폐기,폐품,사용연한경과,2018-10-10,10,2017-09-20
2018-03-18,2018-05-12,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701614,2017-09-08,10043000,폐기,정비필요품,고장/파손,2018-03-06,10,2017-09-20
2018-07-30,2018-10-05,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701625,2017-09-08,10043000,폐기,폐품,사용연한경과,2018-07-18,10,2017-09-20
2025-07-08,,매각,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701626,2017-09-08,10043000,매각,중고품,불용결정,2018-03-19,10,2017-09-20
2018-02-10,2018-03-26,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701628,2017-09-08,10043000,폐기,폐품,직권 불용(파손/노후),2018-01-29,10,2017-09-20
2018-08-30,2018-10-02,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201701630,2017-09-08,10043000,폐기,폐품,사용연한경과,2018-08-20,10,2017-09-20
2018-05-04,2018-06-08,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201801658,2018-01-18,4904000,매각,중고품,불용결정,2018-05-03,10,2018-01-31
2019-03-29,2019-06-23,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201801663,2018-01-18,4904000,폐기,정비필요품,고장/파손,2019-03-23,10,2018-01-31
2016-11-18,2016-12-21,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201601675,2016-01-14,630000,폐기,정비필요품,고장/파손,2016-11-12,5,2016-01-22
2021-08-30,2021-11-11,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202101686,2021-04-08,4854000,폐기,정비필요품,고장/파손,2021-08-16,8,2021-04-21
2025-09-28,,폐기,hyl0610,황팀장,대기,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202101691,2021-04-08,4854000,폐기,폐품,사용연한경과,2021-10-08,8,2021-04-21
2021-04-15,2021-07-03,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202001766,2020-04-23,2384000,폐기,폐품,사용연한경과,2021-04-02,5,2020-05-04
2021-04-29,2021-06-19,매각,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202001770,2020-04-23,2384000,매각,중고품,사업종료,2021-04-15,5,2020-05-04
2022-09-09,2022-10-15,매각,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M202201784,2022-01-20,2148000,매각,중고품,사업종료,2022-08-29,10,2022-01-26
2017-12-02,2018-01-25,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701800,2017-04-09,6884000,매각,중고품,사업종료,2017-11-23,10,2017-04-16
2017-08-14,2017-10-07,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201701808,2017-04-09,6884000,폐기,폐품,직권 불용(파손/노후),2017-08-06,10,2017-04-16
2021-02-22,2021-05-19,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202001817,2020-04-27,573000,폐기,폐품,사용연한경과,2021-02-18,5,2020-05-07
2021-04-23,2021-06-13,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202001820,2020-04-27,573000,폐기,폐품,사용연한경과,2021-04-11,5,2020-05-07
