운용신청일자,등록일자,운용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,운용부서,사용자,신청구분,운용상태
2019-07-26,2019-07-26,2019-08-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900015,2019-07-08,2514000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-04-07,2019-04-07,2019-04-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900016,2019-03-19,6055000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-04-05,2019-04-05,2019-04-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900017,2019-03-19,6055000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-03-29,2019-03-29,2019-04-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900018,2019-03-19,6055000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-04-02,2019-04-02,2019-04-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900019,2019-03-19,6055000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-03-30,2019-03-30,2019-04-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900020,2019-03-19,6055000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-12-20,2025-12-20,2025-12-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500021,2025-11-23,3702000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-12-14,2025-12-14,2025-12-19,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500022,2025-11-23,3702000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-12-16,2025-12-16,2025-12-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500023,2025-11-23,3702000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-18,2015-09-18,2015-09-30,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500024,2015-08-24,1091000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-08-10,2023-08-10,2023-08-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300025,2023-07-26,2488000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-08-13,2023-08-13,2023-08-26,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300026,2023-07-26,2488000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-01-27,2018-01-27,2018-02-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800027,2018-01-13,6255000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2018-01-29,2018-01-29,2018-02-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800028,2018-01-13,6255000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2018-01-28,2018-01-28,2018-02-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800029,2018-01-13,6255000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2018-02-01,2018-02-01,2018-02-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800030,2018-01-13,6255000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2018-02-01,2018-02-01,2018-02-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800031,2018-01-13,6255000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2024-08-02,2024-08-02,2024-08-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400032,2024-07-20,4149000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-08-02,2024-08-02,2024-08-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400033,2024-07-20,4149000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-08-02,2024-08-02,2024-08-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400034,2024-07-20,4149000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-06-09,2017-06-09,2017-06-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700035,2017-05-24,3486000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-06-12,2017-06-12,2017-06-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700036,2017-05-24,3486000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-06-14,2017-06-14,2017-06-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700037,2017-05-24,3486000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-07-05,2024-07-05,2024-07-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400038,2024-06-23,3675000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-07-05,2024-07-05,2024-07-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400039,2024-06-23,3675000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-07-09,2024-07-09,2024-07-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400040,2024-06-23,3675000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-05-18,2015-05-18,2015-05-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500041,2015-04-25,3693000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-05-05,2015-05-05,2015-05-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500042,2015-04-25,3693000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-05-09,2015-05-09,2015-05-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500043,2015-04-25,3693000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-05-22,2023-05-22,2023-05-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300044,2023-05-04,2488000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2023-05-19,2023-05-19,2023-06-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300045,2023-05-04,2488000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2017-11-06,2017-11-06,2017-11-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700046,2017-10-14,1216000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-04-10,2025-04-10,2025-04-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500047,2025-03-16,3843000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2025-03-31,2025-03-31,2025-04-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500048,2025-03-16,3843000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2025-04-04,2025-04-04,2025-04-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500049,2025-03-16,3843000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2016-12-28,2016-12-28,2017-01-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600050,2016-12-11,3696000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-01-02,2017-01-02,2017-01-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600051,2016-12-11,3696000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2016-12-26,2016-12-26,2017-01-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600052,2016-12-11,3696000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-11-27,2023-11-27,2023-12-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300053,2023-11-05,6615000,소프트웨어융합대학RC행정팀(ERICA),AI 실습 수업용 노트북,신규운용,운용
2023-11-20,2023-11-20,2023-11-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300054,2023-11-05,6615000,소프트웨어융합대학RC행정팀(ERICA),AI 실습 수업용 노트북,신규운용,운용
2023-11-19,2023-11-19,2023-11-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300055,2023-11-05,6615000,소프트웨어융합대학RC행정팀(ERICA),AI 실습 수업용 노트북,신규운용,운용
2023-11-23,2023-11-23,2023-12-01,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300056,2023-11-05,6615000,소프트웨어융합대학RC행정팀(ERICA),AI 실습 수업용 노트북,신규운용,운용
2023-11-23,2023-11-23,2023-11-30,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300057,2023-11-05,6615000,소프트웨어융합대학RC행정팀(ERICA),AI 실습 수업용 노트북,신규운용,운용
2017-02-23,2017-02-23,2017-03-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700058,2017-02-05,5920000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-02-28,2017-02-28,2017-03-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700059,2017-02-05,5920000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-02-16,2017-02-16,2017-02-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700060,2017-02-05,5920000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-02-20,2017-02-20,2017-02-26,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700061,2017-02-05,5920000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-02-22,2017-02-22,2017-02-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700062,2017-02-05,5920000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-03-05,2024-03-05,2024-03-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400063,2024-02-15,2430000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-03-02,2024-03-02,2024-03-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400064,2024-02-15,2430000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-11-27,2017-11-27,2017-12-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700065,2017-11-19,5700000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-11-29,2017-11-29,2017-12-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700066,2017-11-19,5700000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-12-06,2017-12-06,2017-12-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700067,2017-11-19,5700000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-11-26,2017-11-26,2017-12-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700068,2017-11-19,5700000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-12-01,2017-12-01,2017-12-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700069,2017-11-19,5700000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-10-31,2025-10-31,2025-11-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500070,2025-10-15,1251000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-01-21,2015-01-21,2015-01-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500071,2015-01-06,4388000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-01-13,2015-01-13,2015-01-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500072,2015-01-06,4388000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-01-22,2015-01-22,2015-01-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500073,2015-01-06,4388000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-01-25,2015-01-25,2015-02-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500074,2015-01-06,4388000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2021-01-28,2021-01-28,2021-02-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100075,2021-01-20,1236000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-11-28,2017-11-28,2017-12-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700076,2017-11-03,1157000,소프트웨어융합대학RC행정팀(ERICA),AI 실습 수업용 노트북,신규운용,운용
2025-08-08,2025-08-08,2025-08-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500077,2025-07-26,1343000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2019-05-26,2019-05-26,2019-05-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900078,2019-05-14,1125000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-11-22,2015-11-22,2015-12-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500079,2015-11-09,4520000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-11-17,2015-11-17,2015-11-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500080,2015-11-09,4520000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-11-27,2015-11-27,2015-12-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500081,2015-11-09,4520000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-11-20,2015-11-20,2015-11-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500082,2015-11-09,4520000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-09-18,2023-09-18,2023-09-26,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300083,2023-09-06,5164000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2023-09-19,2023-09-19,2023-10-01,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300084,2023-09-06,5164000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2023-09-20,2023-09-20,2023-09-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300085,2023-09-06,5164000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2023-09-17,2023-09-17,2023-09-26,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300086,2023-09-06,5164000,소프트웨어융합대학RC행정팀(ERICA),전산 실습실 공용 장비,신규운용,운용
2017-02-28,2017-02-28,2017-03-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700087,2017-02-20,3174000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-03-02,2017-03-02,2017-03-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700088,2017-02-20,3174000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-02-26,2017-02-26,2017-03-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700089,2017-02-20,3174000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-01-16,2025-01-16,2025-01-30,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400090,2024-12-28,2630000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-01-13,2025-01-13,2025-01-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400091,2024-12-28,2630000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-02-07,2018-02-07,2018-02-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800092,2018-01-22,6005000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-02-05,2018-02-05,2018-02-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800093,2018-01-22,6005000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-01-30,2018-01-30,2018-02-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800094,2018-01-22,6005000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-01-28,2018-01-28,2018-01-31,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800095,2018-01-22,6005000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-01-30,2018-01-30,2018-02-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800096,2018-01-22,6005000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-07-28,2024-07-28,2024-08-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400097,2024-07-15,5528000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-08-01,2024-08-01,2024-08-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400098,2024-07-15,5528000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-07-24,2024-07-24,2024-07-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400099,2024-07-15,5528000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-08-02,2024-08-02,2024-08-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400100,2024-07-15,5528000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-09-04,2017-09-04,2017-09-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700101,2017-08-24,2162000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-09-11,2017-09-11,2017-09-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700102,2017-08-24,2162000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2020-01-12,2020-01-12,2020-01-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900103,2019-12-25,1320000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2019-07-04,2019-07-04,2019-07-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900104,2019-06-09,4672000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-06-27,2019-06-27,2019-07-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900105,2019-06-09,4672000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-06-26,2019-06-26,2019-07-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900106,2019-06-09,4672000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-06-24,2019-06-24,2019-06-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900107,2019-06-09,4672000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-05-07,2015-05-07,2015-05-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500108,2015-04-19,1181000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-04-14,2023-04-14,2023-04-19,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300109,2023-03-26,5248000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-04-04,2023-04-04,2023-04-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300110,2023-03-26,5248000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-04-11,2023-04-11,2023-04-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300111,2023-03-26,5248000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-04-07,2023-04-07,2023-04-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202300112,2023-03-26,5248000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-19,2015-09-19,2015-09-26,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500113,2015-09-02,4120000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-18,2015-09-18,2015-09-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500114,2015-09-02,4120000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-15,2015-09-15,2015-09-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500115,2015-09-02,4120000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-18,2015-09-18,2015-09-30,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500116,2015-09-02,4120000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-01-10,2023-01-10,2023-01-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200117,2022-12-23,2748000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2023-01-09,2023-01-09,2023-01-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200118,2022-12-23,2748000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-10-26,2017-10-26,2017-11-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700119,2017-10-15,6225000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-11-08,2017-11-08,2017-11-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700120,2017-10-15,6225000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-11-04,2017-11-04,2017-11-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700121,2017-10-15,6225000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-10-27,2017-10-27,2017-11-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700122,2017-10-15,6225000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2017-10-26,2017-10-26,2017-11-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700123,2017-10-15,6225000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2024-09-11,2024-09-11,2024-09-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400124,2024-08-25,6335000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2024-09-15,2024-09-15,2024-09-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400125,2024-08-25,6335000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2024-09-02,2024-09-02,2024-09-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400126,2024-08-25,6335000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2024-09-13,2024-09-13,2024-09-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400127,2024-08-25,6335000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2024-09-12,2024-09-12,2024-09-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202400128,2024-08-25,6335000,소프트웨어융합대학RC행정팀(ERICA),교수·연구원 업무용,신규운용,운용
2015-01-19,2015-01-19,2015-02-01,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500129,2015-01-02,2346000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-01-16,2015-01-16,2015-01-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500130,2015-01-02,2346000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2022-07-26,2022-07-26,2022-08-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200131,2022-07-09,6645000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2022-07-22,2022-07-22,2022-08-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200132,2022-07-09,6645000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2022-07-25,2022-07-25,2022-08-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200133,2022-07-09,6645000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2022-07-26,2022-07-26,2022-07-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200134,2022-07-09,6645000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2022-07-20,2022-07-20,2022-07-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200135,2022-07-09,6645000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2017-06-22,2017-06-22,2017-06-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700136,2017-06-08,2104000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
