반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,물품상태,사유
2021-07-19,2021-07-22,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600281,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2023-09-24,2023-09-27,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600282,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2019-08-05,2019-08-08,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600284,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2018-10-30,2018-11-02,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600285,2016-12-01,6169000,2016-12-03,입학처,중고품,사업종료
2018-12-18,2018-12-21,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600287,2016-12-01,6169000,2016-12-03,입학처,중고품,불용결정
2025-11-16,2025-11-19,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600288,2016-12-01,6169000,2016-12-03,입학처,정비필요품,고장/파손
2019-01-25,2019-01-28,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600289,2016-12-01,6169000,2016-12-03,입학처,정비필요품,고장/파손
2023-02-28,2023-03-03,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600291,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2017-12-12,2017-12-15,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600292,2016-12-01,6169000,2016-12-03,입학처,중고품,불용결정
2021-11-12,2021-11-15,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600294,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2018-01-01,2018-01-04,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600295,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2019-06-21,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600296,2016-12-01,6169000,2016-12-03,입학처,정비필요품,고장/파손
2019-02-22,2019-02-25,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600297,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2021-11-28,2021-12-01,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600299,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2026-01-10,2026-01-13,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000301,2020-07-17,3393000,2020-07-19,공과대학,폐품,사용연한경과
2025-08-22,2025-08-25,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000302,2020-07-17,3393000,2020-07-19,공과대학,중고품,사업종료
2021-08-25,2021-08-28,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000303,2020-07-17,3393000,2020-07-19,공과대학,폐품,사용연한경과
2025-02-04,2025-02-07,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900305,2019-11-24,11837000,2020-01-06,산학협력단,정비필요품,고장/파손
2022-01-12,2022-01-15,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900307,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2023-02-10,,badbergjr,박대리,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900308,2019-11-24,11837000,2020-01-06,산학협력단,정비필요품,고장/파손
2026-01-21,2026-01-24,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900309,2019-11-24,11837000,2020-01-06,산학협력단,정비필요품,고장/파손
2021-09-11,2021-09-14,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900310,2019-11-24,11837000,2020-01-06,산학협력단,정비필요품,고장/파손
2023-04-25,2023-04-28,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900311,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2022-04-16,2022-04-19,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900312,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2024-06-28,2024-07-01,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900313,2019-11-24,11837000,2020-01-06,산학협력단,중고품,불용결정
2023-05-05,,badbergjr,박대리,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900317,2019-11-24,11837000,2020-01-06,산학협력단,중고품,불용결정
2024-12-11,2024-12-14,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900318,2019-11-24,11837000,2020-01-06,산학협력단,신품,잉여물품
2021-04-17,2021-04-20,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900319,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2026-01-07,2026-01-10,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900320,2019-11-24,11837000,2020-01-06,산학협력단,중고품,불용결정
2021-04-20,2021-04-23,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900324,2019-11-24,11837000,2020-01-06,산학협력단,정비필요품,고장/파손
2021-08-21,2021-08-24,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900327,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2024-06-22,2024-06-25,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900328,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2021-03-31,2021-04-03,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900329,2019-11-24,11837000,2020-01-06,산학협력단,중고품,사업종료
2022-09-04,2022-09-07,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900330,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2021-08-15,,badbergjr,박대리,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900331,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2022-07-12,2022-07-15,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900333,2019-11-24,11837000,2020-01-06,산학협력단,폐품,사용연한경과
2023-11-24,2023-11-27,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900335,2019-11-24,11837000,2020-01-06,산학협력단,중고품,불용결정
2021-09-05,2021-09-08,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500338,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2021-08-31,2021-09-03,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500340,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2019-07-07,2019-07-10,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500341,2015-05-31,6110000,2015-06-03,공과대학,신품,잉여물품
2022-03-03,2022-03-06,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500342,2015-05-31,6110000,2015-06-03,공과대학,신품,잉여물품
2024-04-03,2024-04-06,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500343,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2021-04-16,2021-04-19,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500344,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2019-12-03,2019-12-06,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500345,2015-05-31,6110000,2015-06-03,공과대학,중고품,불용결정
2019-09-04,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500346,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2021-07-20,2021-07-23,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500349,2015-05-31,6110000,2015-06-03,공과대학,신품,잉여물품
2018-09-23,2018-09-26,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500350,2015-05-31,6110000,2015-06-03,공과대학,정비필요품,고장/파손
2019-06-23,2019-06-26,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500351,2015-05-31,6110000,2015-06-03,공과대학,중고품,불용결정
2017-02-24,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500352,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2025-07-23,2025-07-26,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500354,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2022-07-14,2022-07-17,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500355,2015-05-31,6110000,2015-06-03,공과대학,정비필요품,고장/파손
2025-03-01,2025-03-04,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500358,2015-05-31,6110000,2015-06-03,공과대학,정비필요품,고장/파손
2025-05-10,2025-05-13,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500359,2015-05-31,6110000,2015-06-03,공과대학,중고품,불용결정
2020-11-29,2020-12-02,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500360,2015-05-31,6110000,2015-06-03,공과대학,중고품,불용결정
2021-03-19,2021-03-22,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500361,2015-05-31,6110000,2015-06-03,공과대학,정비필요품,고장/파손
2025-10-01,2025-10-04,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500362,2015-05-31,6110000,2015-06-03,공과대학,폐품,사용연한경과
2025-03-02,2025-03-05,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500364,2015-05-31,6110000,2015-06-03,공과대학,중고품,불용결정
2019-03-28,2019-03-31,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500365,2015-05-31,6110000,2015-06-03,공과대학,중고품,불용결정
2021-12-06,2021-12-09,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700375,2017-12-16,25451000,2017-12-22,인문대학,신품,잉여물품
2020-09-12,,badbergjr,박대리,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700377,2017-12-16,25451000,2017-12-22,인문대학,폐품,사용연한경과
2020-02-26,,badbergjr,박대리,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700378,2017-12-16,25451000,2017-12-22,인문대학,중고품,불용결정
2023-10-22,2023-10-25,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700379,2017-12-16,25451000,2017-12-22,인문대학,폐품,사용연한경과
2022-07-28,2022-07-31,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700380,2017-12-16,25451000,2017-12-22,인문대학,폐품,사용연한경과
2025-06-24,2025-06-27,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700381,2017-12-16,25451000,2017-12-22,인문대학,폐품,사용연한경과
2026-01-19,,badbergjr,박대리,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201700383,2017-12-16,25451000,2017-12-22,인문대학,신품,잉여물품
2020-06-07,2020-06-10,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201700385,2017-05-22,1092000,2017-05-25,경영대학,정비필요품,고장/파손
2024-03-23,2024-03-26,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202200386,2022-03-13,6962000,2022-04-15,입학처,신품,잉여물품
