처분일자,처분정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,불용일자,내용연수,처분확정일자,정리일자
2022-08-04,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900119,2019-07-16,7868000,폐기,정비필요품,수리비용과다,2022-06-18,10,2022-08-09,2019-08-24
2025-02-05,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900120,2019-07-16,7868000,매각,중고품,활용부서부재,2024-12-08,10,2025-02-11,2019-08-24
2023-07-24,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900126,2019-07-16,7868000,매각,중고품,구형화,2023-06-10,10,2023-07-29,2019-08-24
2024-01-11,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900129,2019-07-16,7868000,매각,중고품,구형화,2023-11-17,10,2024-01-18,2019-08-24
2021-06-05,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900131,2019-07-16,7868000,매각,중고품,구형화,2021-05-03,10,2021-06-08,2019-08-24
2024-07-22,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900136,2019-07-16,7868000,폐기,폐품,내구연한 경과,2024-06-08,10,2024-07-26,2019-08-24
2023-01-07,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900137,2019-07-16,7868000,매각,중고품,구형화,2022-11-09,10,2023-01-11,2019-08-24
2024-06-12,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900138,2019-07-16,7868000,매각,중고품,활용부서부재,2024-05-18,10,2024-06-15,2019-08-24
2025-06-29,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900139,2019-07-16,7868000,매각,중고품,구형화,2025-05-31,10,2025-07-06,2019-08-24
2022-04-20,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900148,2019-04-01,14227000,폐기,정비필요품,수리비용과다,2022-03-13,10,2022-04-23,2019-04-06
2023-06-07,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900150,2019-04-01,14227000,매각,중고품,구형화,2023-04-27,10,2023-06-13,2019-04-06
2022-03-02,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900155,2019-04-01,14227000,매각,중고품,구형화,2022-01-15,10,2022-03-08,2019-04-06
2020-11-11,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900157,2019-04-01,14227000,매각,중고품,구형화,2020-10-14,10,2020-11-18,2019-04-06
2024-04-01,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900158,2019-04-01,14227000,폐기,폐품,내구연한 경과,2024-02-20,10,2024-04-08,2019-04-06
2023-01-09,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900163,2019-04-01,14227000,매각,중고품,구형화,2022-11-26,10,2023-01-12,2019-04-06
2020-10-14,멸실,hyl0610,황팀장,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900171,2019-04-01,14227000,멸실,폐품,내구연한 경과,2020-09-02,10,,2019-04-06
2025-04-14,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900172,2019-04-01,14227000,매각,중고품,구형화,2025-03-03,10,2025-04-20,2019-04-06
2022-02-18,폐기,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900173,2019-04-01,14227000,폐기,폐품,내구연한 경과,2022-01-07,10,,2019-04-06
2025-11-21,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900178,2019-04-01,14227000,폐기,폐품,내구연한 경과,2025-10-21,10,2025-11-28,2019-04-06
2022-02-01,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900179,2019-04-01,14227000,매각,중고품,구형화,2022-01-06,10,2022-02-08,2019-04-06
2023-03-06,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900180,2019-04-01,14227000,매각,중고품,활용부서부재,2023-01-12,10,2023-03-09,2019-04-06
2024-06-06,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M202200183,2022-02-09,3148000,폐기,정비필요품,수리비용과다,2024-05-15,6,2024-06-09,2022-02-12
2025-03-25,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000189,2020-12-24,2387000,폐기,정비필요품,수리비용과다,2025-02-06,6,2025-03-28,2021-02-02
2023-11-13,매각,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000190,2020-12-24,2387000,매각,중고품,구형화,2023-10-13,6,2023-11-16,2021-02-02
2023-10-24,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800195,2018-03-19,2731000,매각,중고품,활용부서부재,2023-09-17,10,2023-10-27,2018-03-24
2020-05-21,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800197,2018-03-19,2731000,폐기,폐품,내구연한 경과,2020-04-16,10,2020-05-24,2018-03-24
2023-05-23,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800198,2018-03-19,2731000,매각,중고품,구형화,2023-04-24,10,2023-05-30,2018-03-24
2020-08-04,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800200,2018-03-19,2731000,폐기,폐품,내구연한 경과,2020-06-09,10,2020-08-10,2018-03-24
2025-08-10,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800201,2018-03-19,2731000,매각,중고품,활용부서부재,2025-07-20,10,2025-08-15,2018-03-24
2022-10-09,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800202,2018-03-19,2731000,폐기,폐품,내구연한 경과,2022-09-12,10,2022-10-13,2018-03-24
2019-07-11,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800203,2018-03-19,2731000,매각,중고품,구형화,2019-06-27,10,2019-07-14,2018-03-24
2020-11-26,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700218,2017-04-15,15702000,폐기,정비필요품,수리비용과다,2020-10-13,10,2020-12-02,2017-04-19
2022-05-02,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700221,2017-04-15,15702000,매각,중고품,활용부서부재,2022-03-05,10,2022-05-06,2017-04-19
2019-02-13,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700231,2017-04-15,15702000,폐기,폐품,내구연한 경과,2019-01-25,10,2019-02-17,2017-04-19
2025-03-28,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700232,2017-04-15,15702000,폐기,폐품,내구연한 경과,2025-02-17,10,2025-04-02,2017-04-19
2020-02-16,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700237,2017-04-15,15702000,폐기,정비필요품,수리비용과다,2020-01-12,10,2020-02-21,2017-04-19
2019-12-29,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700238,2017-04-15,15702000,폐기,폐품,내구연한 경과,2019-11-14,10,2020-01-02,2017-04-19
2020-05-31,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700240,2017-04-15,15702000,폐기,폐품,내구연한 경과,2020-04-20,10,2020-06-05,2017-04-19
2024-07-12,매각,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700241,2017-04-15,15702000,매각,중고품,구형화,2024-05-19,10,,2017-04-19
2023-04-09,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700243,2017-04-15,15702000,폐기,정비필요품,수리비용과다,2023-02-16,10,2023-04-14,2017-04-19
2023-02-18,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000254,2020-12-26,3032000,폐기,폐품,내구연한 경과,2023-01-22,8,2023-02-22,2021-01-01
2025-01-20,도난,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000256,2020-12-26,3032000,도난,폐품,내구연한 경과,2024-12-14,8,2025-01-27,2021-01-01
2023-06-21,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000258,2020-12-26,3032000,폐기,정비필요품,수리비용과다,2023-06-06,8,2023-06-25,2021-01-01
2019-06-03,폐기,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500267,2015-12-24,6855000,폐기,폐품,내구연한 경과,2019-05-11,6,2019-06-06,2016-01-31
2023-05-30,폐기,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500268,2015-12-24,6855000,폐기,폐품,내구연한 경과,2023-05-09,6,2023-06-02,2016-01-31
2023-10-02,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900296,2019-11-25,9661000,폐기,폐품,내구연한 경과,2023-09-04,10,2023-10-08,2019-12-31
2022-08-04,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900298,2019-11-25,9661000,폐기,폐품,내구연한 경과,2022-06-05,10,2022-08-08,2019-12-31
2023-12-13,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900303,2019-11-25,9661000,폐기,정비필요품,수리비용과다,2023-11-24,10,2023-12-20,2019-12-31
2023-12-16,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900309,2019-11-25,9661000,폐기,정비필요품,수리비용과다,2023-11-05,10,2023-12-22,2019-12-31
2022-08-31,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900310,2019-11-25,9661000,폐기,폐품,내구연한 경과,2022-08-06,10,2022-09-04,2019-12-31
2023-06-02,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900311,2019-11-25,9661000,폐기,폐품,내구연한 경과,2023-05-11,10,2023-06-09,2019-12-31
2021-11-28,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900312,2019-11-25,9661000,폐기,정비필요품,수리비용과다,2021-10-28,10,2021-12-04,2019-12-31
2023-05-02,매각,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900320,2019-11-25,9661000,매각,중고품,구형화,2023-04-16,10,,2019-12-31
2025-06-15,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900323,2019-11-25,9661000,폐기,폐품,내구연한 경과,2025-05-28,10,2025-06-20,2019-12-31
2024-05-09,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900326,2019-11-25,9661000,폐기,폐품,내구연한 경과,2024-03-31,10,2024-05-16,2019-12-31
2022-03-26,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900330,2019-11-25,9661000,폐기,폐품,내구연한 경과,2022-02-07,10,2022-03-29,2019-12-31
2023-05-19,폐기,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900332,2019-11-25,9661000,폐기,정비필요품,수리비용과다,2023-04-15,10,,2019-12-31
2025-10-27,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900334,2019-11-25,9661000,매각,중고품,구형화,2025-09-05,10,2025-11-03,2019-12-31
2024-10-29,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900335,2019-11-25,9661000,매각,중고품,활용부서부재,2024-10-14,10,2024-11-02,2019-12-31
2024-06-21,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500362,2015-09-01,3711000,폐기,정비필요품,수리비용과다,2024-05-07,10,2024-06-24,2015-09-07
2020-09-29,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500374,2015-09-01,3711000,매각,중고품,구형화,2020-08-28,10,2020-10-04,2015-09-07
2021-10-15,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500376,2015-09-01,3711000,폐기,정비필요품,수리비용과다,2021-08-30,10,2021-10-22,2015-09-07
2025-08-22,폐기,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000378,2020-11-01,10540000,폐기,정비필요품,수리비용과다,2025-07-15,10,,2020-11-08
2023-12-14,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000385,2020-11-01,10540000,폐기,폐품,내구연한 경과,2023-11-11,10,2023-12-20,2020-11-08
2024-04-02,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000390,2020-11-01,10540000,폐기,폐품,내구연한 경과,2024-03-12,10,2024-04-07,2020-11-08
2024-11-25,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000391,2020-11-01,10540000,폐기,정비필요품,수리비용과다,2024-10-11,10,2024-11-29,2020-11-08
2023-11-06,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000392,2020-11-01,10540000,폐기,정비필요품,수리비용과다,2023-10-11,10,2023-11-09,2020-11-08
2024-07-04,매각,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000393,2020-11-01,10540000,매각,중고품,구형화,2024-05-09,10,,2020-11-08
2025-09-16,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000395,2020-11-01,10540000,매각,정비필요품,수리비용과다,2025-08-05,10,2025-09-21,2020-11-08
2023-03-09,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000400,2020-11-01,10540000,폐기,폐품,내구연한 경과,2023-02-09,10,2023-03-14,2020-11-08
2024-07-22,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000403,2020-11-01,10540000,폐기,폐품,내구연한 경과,2024-06-01,10,2024-07-26,2020-11-08
2025-06-21,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000405,2020-11-01,10540000,폐기,폐품,내구연한 경과,2025-04-27,10,2025-06-27,2020-11-08
2022-11-18,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000412,2020-11-01,10540000,매각,중고품,활용부서부재,2022-10-13,10,2022-11-23,2020-11-08
2025-05-30,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000413,2020-11-01,10540000,폐기,폐품,내구연한 경과,2025-05-03,10,2025-06-06,2020-11-08
2024-12-05,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000421,2020-11-01,10540000,폐기,폐품,내구연한 경과,2024-10-26,10,2024-12-12,2020-11-08
2024-04-05,매각,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000423,2020-11-01,10540000,매각,정비필요품,수리비용과다,2024-03-08,10,,2020-11-08
2025-03-18,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000424,2020-11-01,10540000,매각,중고품,구형화,2025-02-25,10,2025-03-22,2020-11-08
2025-11-30,폐기,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900426,2019-03-14,228000,폐기,정비필요품,수리비용과다,2025-11-05,4,2025-12-04,2019-03-21
2026-01-12,폐기,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900427,2019-03-14,228000,폐기,폐품,내구연한 경과,2025-12-02,4,2026-01-16,2019-03-21
2024-04-14,폐기,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900428,2019-03-14,228000,폐기,폐품,내구연한 경과,2024-03-24,4,2024-04-19,2019-03-21
2020-12-23,폐기,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900431,2019-03-14,228000,폐기,폐품,내구연한 경과,2020-12-08,4,2020-12-29,2019-03-21
2021-07-17,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900433,2019-08-02,11043000,폐기,정비필요품,수리비용과다,2021-06-14,10,2021-07-22,2019-09-16
2022-08-07,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900434,2019-08-02,11043000,매각,중고품,구형화,2022-06-21,10,2022-08-14,2019-09-16
2025-06-03,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900436,2019-08-02,11043000,폐기,폐품,내구연한 경과,2025-04-18,10,2025-06-08,2019-09-16
