불용일자,등록일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2023-11-10,2023-11-10,2023-11-17,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900129,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2021-04-26,2021-04-26,2021-05-03,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900131,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2021-01-12,2021-01-12,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900133,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2024-06-01,2024-06-01,2024-06-08,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900136,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2022-11-02,2022-11-02,2022-11-09,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900137,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2024-05-11,2024-05-11,2024-05-18,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900138,2019-07-16,7868000,2019-08-24,,반납,10,중고품,활용부서부재
2025-05-24,2025-05-24,2025-05-31,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900139,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2023-01-22,2023-01-22,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900142,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2021-08-28,2021-08-28,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900146,2019-04-01,14227000,2019-04-06,,반납,10,정비필요품,수리비용과다
2025-06-30,2025-06-30,,hyl0610,황팀장,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900147,2019-04-01,14227000,2019-04-06,,반납,10,정비필요품,수리비용과다
2022-03-06,2022-03-06,2022-03-13,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900148,2019-04-01,14227000,2019-04-06,,반납,10,정비필요품,수리비용과다
2023-04-20,2023-04-20,2023-04-27,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900150,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2023-06-15,2023-06-15,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900153,2019-04-01,14227000,2019-04-06,,반납,10,폐품,내구연한 경과
2022-01-08,2022-01-08,2022-01-15,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900155,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2020-10-07,2020-10-07,2020-10-14,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900157,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2024-02-13,2024-02-13,2024-02-20,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900158,2019-04-01,14227000,2019-04-06,,반납,10,폐품,내구연한 경과
2025-01-28,2025-01-28,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900162,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2022-11-19,2022-11-19,2022-11-26,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900163,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2021-03-28,2021-03-28,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900164,2019-04-01,14227000,2019-04-06,,반납,10,중고품,활용부서부재
2020-12-09,2020-12-09,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900166,2019-04-01,14227000,2019-04-06,,반납,10,정비필요품,수리비용과다
2020-08-26,2020-08-26,2020-09-02,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900171,2019-04-01,14227000,2019-04-06,,반납,10,폐품,내구연한 경과
2025-02-24,2025-02-24,2025-03-03,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900172,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2021-12-31,2021-12-31,2022-01-07,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900173,2019-04-01,14227000,2019-04-06,,반납,10,폐품,내구연한 경과
2025-10-14,2025-10-14,2025-10-21,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900178,2019-04-01,14227000,2019-04-06,,반납,10,폐품,내구연한 경과
2021-12-30,2021-12-30,2022-01-06,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900179,2019-04-01,14227000,2019-04-06,,반납,10,중고품,구형화
2023-01-05,2023-01-05,2023-01-12,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201900180,2019-04-01,14227000,2019-04-06,,반납,10,중고품,활용부서부재
2024-05-08,2024-05-08,2024-05-15,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M202200183,2022-02-09,3148000,2022-02-12,,반납,6,정비필요품,수리비용과다
2025-01-30,2025-01-30,2025-02-06,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000189,2020-12-24,2387000,2021-02-02,,반납,6,정비필요품,수리비용과다
2023-10-06,2023-10-06,2023-10-13,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000190,2020-12-24,2387000,2021-02-02,,반납,6,중고품,구형화
2023-07-24,2023-07-24,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800192,2018-03-19,2731000,2018-03-24,,반납,10,정비필요품,수리비용과다
2023-09-10,2023-09-10,2023-09-17,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800195,2018-03-19,2731000,2018-03-24,,반납,10,중고품,활용부서부재
2020-04-09,2020-04-09,2020-04-16,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800197,2018-03-19,2731000,2018-03-24,,반납,10,폐품,내구연한 경과
2023-04-17,2023-04-17,2023-04-24,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800198,2018-03-19,2731000,2018-03-24,,반납,10,중고품,구형화
2020-06-02,2020-06-02,2020-06-09,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800200,2018-03-19,2731000,2018-03-24,,반납,10,폐품,내구연한 경과
2025-07-13,2025-07-13,2025-07-20,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800201,2018-03-19,2731000,2018-03-24,,반납,10,중고품,활용부서부재
2022-09-05,2022-09-05,2022-09-12,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800202,2018-03-19,2731000,2018-03-24,,반납,10,폐품,내구연한 경과
2019-06-20,2019-06-20,2019-06-27,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800203,2018-03-19,2731000,2018-03-24,,반납,10,중고품,구형화
2022-09-22,2022-09-22,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800206,2018-03-19,2731000,2018-03-24,,반납,10,폐품,내구연한 경과
2026-03-05,2026-03-05,2026-03-12,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700207,2017-04-15,15702000,2017-04-19,,반납,10,중고품,구형화
2018-12-17,2018-12-17,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700212,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2022-04-15,2022-04-15,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700214,2017-04-15,15702000,2017-04-19,,반납,10,정비필요품,수리비용과다
2020-10-06,2020-10-06,2020-10-13,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700218,2017-04-15,15702000,2017-04-19,,반납,10,정비필요품,수리비용과다
2025-05-25,2025-05-25,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700220,2017-04-15,15702000,2017-04-19,,반납,10,정비필요품,수리비용과다
2022-02-26,2022-02-26,2022-03-05,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700221,2017-04-15,15702000,2017-04-19,,반납,10,중고품,활용부서부재
2021-07-21,2021-07-21,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700223,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2020-07-06,2020-07-06,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700226,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2024-01-13,2024-01-13,,hyl0610,황팀장,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700230,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2019-01-18,2019-01-18,2019-01-25,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700231,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2025-02-10,2025-02-10,2025-02-17,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700232,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2020-10-14,2020-10-14,,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700236,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2020-01-05,2020-01-05,2020-01-12,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700237,2017-04-15,15702000,2017-04-19,,반납,10,정비필요품,수리비용과다
2019-11-07,2019-11-07,2019-11-14,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700238,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2020-04-13,2020-04-13,2020-04-20,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700240,2017-04-15,15702000,2017-04-19,,반납,10,폐품,내구연한 경과
2024-05-12,2024-05-12,2024-05-19,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700241,2017-04-15,15702000,2017-04-19,,반납,10,중고품,구형화
2023-02-09,2023-02-09,2023-02-16,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700243,2017-04-15,15702000,2017-04-19,,반납,10,정비필요품,수리비용과다
2025-08-28,2025-08-28,,hyl0610,황팀장,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201700247,2017-04-15,15702000,2017-04-19,,반납,10,정비필요품,수리비용과다
2023-01-15,2023-01-15,2023-01-22,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000254,2020-12-26,3032000,2021-01-01,,반납,8,폐품,내구연한 경과
2024-12-07,2024-12-07,2024-12-14,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000256,2020-12-26,3032000,2021-01-01,,반납,8,폐품,내구연한 경과
2023-05-30,2023-05-30,2023-06-06,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202000258,2020-12-26,3032000,2021-01-01,,반납,8,정비필요품,수리비용과다
2026-03-27,2026-03-27,2026-04-03,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600259,2016-08-27,3982000,2016-08-30,,반납,8,폐품,내구연한 경과
2019-05-04,2019-05-04,2019-05-11,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500267,2015-12-24,6855000,2016-01-31,,반납,6,폐품,내구연한 경과
2023-05-02,2023-05-02,2023-05-09,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500268,2015-12-24,6855000,2016-01-31,,반납,6,폐품,내구연한 경과
2025-12-27,2025-12-27,2026-01-03,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500272,2015-12-24,6855000,2016-01-31,,반납,6,신품,활용부서 부재
2021-11-23,2021-11-23,,hyl0610,황팀장,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201900274,2019-11-09,15954000,2019-11-15,,반납,7,폐품,내구연한 경과
2023-08-28,2023-08-28,2023-09-04,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900296,2019-11-25,9661000,2019-12-31,,반납,10,폐품,내구연한 경과
2022-05-29,2022-05-29,2022-06-05,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900298,2019-11-25,9661000,2019-12-31,,반납,10,폐품,내구연한 경과
2021-07-22,2021-07-22,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900302,2019-11-25,9661000,2019-12-31,,반납,10,폐품,내구연한 경과
2023-11-17,2023-11-17,2023-11-24,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900303,2019-11-25,9661000,2019-12-31,,반납,10,정비필요품,수리비용과다
2023-10-29,2023-10-29,2023-11-05,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900309,2019-11-25,9661000,2019-12-31,,반납,10,정비필요품,수리비용과다
2022-07-30,2022-07-30,2022-08-06,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900310,2019-11-25,9661000,2019-12-31,,반납,10,폐품,내구연한 경과
2023-05-04,2023-05-04,2023-05-11,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900311,2019-11-25,9661000,2019-12-31,,반납,10,폐품,내구연한 경과
2021-10-21,2021-10-21,2021-10-28,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900312,2019-11-25,9661000,2019-12-31,,반납,10,정비필요품,수리비용과다
