G2B_목록번호,G2B_목록명,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,수량,승인상태,취득정리구분,운용부서코드,비고
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2023-09-14,2801000,2023-11-07,산학협력단,취득,10,12,확정,자체구입,D009,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2017-11-02,12552000,2017-11-08,입학처,취득,6,7,확정,자체구입,D007,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2024-11-24,6052000,2024-11-26,AI연구원,취득,10,36,확정,자체구입,D010,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2025-07-09,6641000,,시설팀,취득,10,19,대기,자체구입,D006,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2018-11-17,1680000,2018-12-17,공과대학,취득,10,9,확정,자체구입,D002,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2024-10-24,5865000,,소프트웨어융합대학,취득,6,6,대기,자체구입,D001,Quisquam ab consequatur et placeat blanditiis.
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2018-09-02,36000,2018-09-09,총무팀,취득,4,1,확정,자체구입,D005,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2016-06-08,2181000,2016-07-11,총무팀,취득,10,13,확정,자체구입,D005,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2016-11-20,6101000,2016-11-23,총무팀,취득,6,8,확정,자체구입,D005,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2025-07-20,14457000,2025-08-28,AI연구원,취득,10,43,확정,자체구입,D010,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2023-03-22,2254000,2023-03-23,AI연구원,취득,5,10,확정,자체구입,D010,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2025-06-21,1636000,,AI연구원,취득,5,7,대기,자체구입,D010,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2025-01-10,955000,2025-01-15,공과대학,취득,10,5,확정,자체구입,D002,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2018-11-20,1776000,2018-11-27,입학처,취득,8,3,확정,자체구입,D007,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2025-02-11,191000,2025-04-11,소프트웨어융합대학,취득,5,2,확정,자체구입,D001,Natus molestias nesciunt porro.
4322261025578661,"허브, Belkin, (US)INC002, 7port",2021-11-17,86000,2021-11-21,인문대학,취득,5,1,확정,자체구입,D004,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2016-12-01,6169000,2016-12-03,입학처,취득,10,26,확정,자체구입,D007,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2020-07-17,3393000,2020-07-19,공과대학,취득,8,5,확정,자체구입,D002,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2019-11-24,11837000,2020-01-06,산학협력단,취득,10,33,확정,자체구입,D009,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2015-05-31,6110000,2015-06-03,공과대학,취득,10,28,확정,자체구입,D002,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2023-02-13,231000,2023-02-20,입학처,취득,5,1,확정,자체구입,D007,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2023-03-15,699000,2023-04-21,시설팀,취득,6,1,확정,자체구입,D006,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2025-11-09,8011000,2025-12-17,인문대학,취득,5,7,확정,자체구입,D004,Esse repudiandae laboriosam optio odit expedita.
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2017-12-16,25451000,2017-12-22,인문대학,취득,7,9,확정,자체구입,D004,
4322260926066170,"라우터, Netgear, (US)PR60X",2017-05-22,1092000,2017-05-25,경영대학,취득,6,2,확정,자체구입,D003,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2022-03-13,6962000,2022-04-15,입학처,취득,10,32,확정,자체구입,D007,Recusandae totam ipsam.
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2025-01-14,1012000,,인문대학,취득,5,4,대기,자체구입,D004,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2024-03-21,4621000,2024-04-21,인문대학,취득,10,26,확정,자체구입,D004,
4322260926066170,"라우터, Netgear, (US)PR60X",2019-04-09,1001000,2019-06-01,중앙도서관,취득,6,2,확정,자체구입,D008,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2019-05-05,16781000,2019-06-27,인문대학,취득,10,48,확정,자체구입,D004,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2022-10-25,1641000,2022-11-24,중앙도서관,취득,10,7,확정,자체구입,D008,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2016-04-18,2746000,2016-04-24,총무팀,취득,5,10,확정,자체구입,D005,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2019-07-09,6200000,2019-07-11,입학처,취득,10,29,확정,자체제작,D007,
4322260926066170,"라우터, Netgear, (US)PR60X",2015-02-27,2694000,2015-03-01,소프트웨어융합대학,취득,6,5,확정,자체구입,D001,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2021-01-18,416000,2021-03-12,공과대학,취득,5,5,확정,자체구입,D002,Quis recusandae fugit quod.
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2017-11-27,15675000,2017-12-02,경영대학,취득,10,45,확정,자체구입,D003,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2025-12-10,8703000,,경영대학,취득,10,44,대기,자체구입,D003,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2016-11-06,16008000,2016-11-11,입학처,취득,10,49,확정,자체구입,D007,Atque itaque iusto incidunt porro.
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2016-12-24,3432000,2016-12-31,경영대학,취득,6,2,확정,자체구입,D003,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2022-12-10,7358000,2023-01-17,AI연구원,취득,5,6,확정,자체구입,D010,Unde repudiandae expedita voluptatem accusantium.
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2021-11-10,3364000,2021-12-18,경영대학,취득,5,9,확정,자체구입,D003,
4322260926066170,"라우터, Netgear, (US)PR60X",2023-04-06,4570000,2023-05-10,중앙도서관,취득,6,8,확정,자체구입,D008,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2023-11-12,9672000,2023-12-14,소프트웨어융합대학,취득,10,28,확정,자체구입,D001,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2022-11-01,4852000,2022-12-21,경영대학,취득,8,7,확정,자체구입,D003,Impedit sit autem cupiditate.
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2025-06-15,487000,,인문대학,취득,5,2,대기,자체구입,D004,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2022-07-04,7190000,2022-08-11,중앙도서관,취득,6,4,확정,자체구입,D008,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2022-05-17,77000,2022-05-22,AI연구원,취득,4,2,확정,자체구입,D010,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2025-05-05,11411000,,입학처,취득,10,49,대기,자체구입,D007,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2020-01-16,8735000,2020-03-10,시설팀,취득,7,3,확정,자체구입,D006,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2024-07-02,6285000,2024-08-15,중앙도서관,취득,6,9,확정,자체구입,D008,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2024-08-01,187000,2024-08-08,AI연구원,취득,5,3,확정,자체구입,D010,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2018-09-07,1940000,2018-09-14,AI연구원,취득,6,2,확정,자체구입,D010,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2021-12-23,919000,2022-02-09,소프트웨어융합대학,취득,10,5,확정,자체구입,D001,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2017-11-03,1511000,2017-11-06,시설팀,취득,5,4,확정,자체구입,D006,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2024-04-18,23612000,2024-06-14,인문대학,취득,7,8,확정,자체구입,D004,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2019-01-27,6048000,2019-01-28,시설팀,취득,5,5,확정,자체구입,D006,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2020-06-04,11869000,2020-06-05,소프트웨어융합대학,취득,6,6,확정,자체구입,D001,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2020-01-25,351000,2020-03-04,총무팀,취득,5,4,확정,자체구입,D005,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2025-01-14,9764000,2025-01-16,산학협력단,취득,6,5,확정,자체구입,D009,Eius accusamus vitae occaecati id quidem.
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2015-03-18,8033000,2015-04-28,총무팀,취득,10,37,확정,자체구입,D005,
4322260926066170,"라우터, Netgear, (US)PR60X",2025-03-16,2634000,,시설팀,취득,6,5,대기,자체구입,D006,
4322260926066170,"라우터, Netgear, (US)PR60X",2025-08-31,530000,,AI연구원,취득,6,1,대기,자체구입,D010,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2016-08-15,4934000,2016-09-17,공과대학,취득,10,28,확정,자체구입,D002,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2017-09-18,1628000,2017-09-23,시설팀,취득,10,5,확정,자체구입,D006,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2018-10-21,422000,2018-11-30,경영대학,취득,5,5,확정,자체구입,D003,Itaque vero necessitatibus modi rerum cumque.
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2020-07-17,289000,2020-07-18,시설팀,취득,4,7,확정,기증,D006,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2025-02-21,390000,,인문대학,취득,5,4,대기,자체구입,D004,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2025-04-28,2249000,2025-06-19,총무팀,취득,10,3,확정,자체구입,D005,Sint quos quidem repellat.
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2016-03-09,7390000,2016-03-10,공과대학,취득,10,10,확정,자체구입,D002,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2016-09-30,721000,2016-11-16,입학처,취득,6,1,확정,자체구입,D007,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2017-12-12,1407000,2018-02-06,총무팀,취득,8,2,확정,자체제작,D005,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2020-02-28,288000,2020-03-03,총무팀,취득,4,8,확정,자체구입,D005,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2025-09-15,2174000,2025-10-16,입학처,취득,5,8,확정,자체구입,D007,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2025-11-04,9814000,2025-11-06,경영대학,취득,10,30,확정,자체구입,D003,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2020-01-30,4474000,2020-02-02,중앙도서관,취득,10,6,확정,자체구입,D008,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2025-01-19,3877000,2025-01-21,AI연구원,취득,8,6,확정,기증,D010,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2016-03-07,2893000,2016-04-19,산학협력단,취득,10,8,확정,자체구입,D009,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2016-03-08,682000,2016-03-15,소프트웨어융합대학,취득,5,7,확정,자체구입,D001,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2025-08-29,2781000,2025-09-05,인문대학,취득,7,1,확정,자체구입,D004,Aliquid libero maxime non quam.
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2018-10-22,196000,,입학처,취득,5,3,반려,자체구입,D007,예산 초과로 인한 반려
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2024-11-17,981000,2024-12-30,인문대학,취득,6,1,확정,자체구입,D004,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2015-08-14,1210000,2015-08-19,시설팀,취득,5,5,확정,자체구입,D006,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2022-11-14,4250000,2022-11-20,공과대학,취득,6,5,확정,자체구입,D002,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2020-01-29,280000,2020-02-04,인문대학,취득,5,3,확정,자체구입,D004,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2024-11-29,5469000,2024-12-01,인문대학,취득,6,7,확정,자체구입,D004,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2015-03-22,2477000,2015-05-20,시설팀,취득,10,15,확정,자체구입,D006,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2026-01-07,3281000,,AI연구원,취득,6,4,대기,자체구입,D010,Temporibus adipisci aliquid voluptatum nemo ullam dolore.
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2019-05-26,10941000,2019-05-31,입학처,취득,7,4,확정,자체구입,D007,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2016-02-11,4480000,2016-03-28,입학처,취득,10,24,확정,자체구입,D007,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2025-07-09,1816000,2025-08-14,시설팀,취득,10,9,확정,자체구입,D006,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2016-11-15,493000,2016-11-17,산학협력단,취득,5,8,확정,자체구입,D009,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2016-07-17,18151000,2016-07-22,경영대학,취득,6,10,확정,자체구입,D003,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2021-01-03,2198000,2021-01-10,경영대학,취득,10,10,확정,자체구입,D003,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2015-01-31,7864000,2015-03-25,AI연구원,취득,10,34,확정,자체구입,D010,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2025-11-25,11137000,,시설팀,취득,5,9,대기,자체구입,D006,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2017-08-09,194000,2017-09-14,산학협력단,취득,10,1,확정,자체구입,D009,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2021-12-23,189000,2021-12-25,시설팀,취득,5,2,확정,자체구입,D006,Deserunt odit inventore asperiores doloremque beatae dicta.
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2019-06-03,1591000,2019-06-07,산학협력단,취득,10,8,확정,자체구입,D009,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2018-11-20,4071000,2018-11-27,인문대학,취득,6,5,확정,자체구입,D004,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2022-06-27,1004000,2022-06-28,시설팀,취득,5,4,확정,자체구입,D006,
4322260926066170,"라우터, Netgear, (US)PR60X",2024-02-07,1716000,2024-02-11,시설팀,취득,6,3,확정,자체구입,D006,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2017-06-10,6046000,2017-06-17,입학처,취득,5,5,확정,자체구입,D007,
4322260926066170,"라우터, Netgear, (US)PR60X",2017-10-18,549000,2017-12-02,중앙도서관,취득,6,1,확정,자체구입,D008,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2024-02-02,6005000,2024-02-03,입학처,취득,7,2,확정,자체구입,D007,
4322260926066170,"라우터, Netgear, (US)PR60X",2019-09-08,4579000,2019-09-12,중앙도서관,취득,6,8,확정,자체구입,D008,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2023-03-24,1768000,2023-03-26,AI연구원,취득,5,5,확정,자체구입,D010,Sit sapiente labore a sed at quis perferendis.
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2024-12-04,5518000,,AI연구원,취득,6,3,대기,자체구입,D010,Quo fugiat quo nisi a inventore.
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2015-10-10,1548000,2015-11-28,공과대학,취득,10,2,확정,자체구입,D002,Quidem dolorum nihil accusamus ab vel.
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2023-11-09,1481000,2023-12-14,총무팀,취득,5,6,확정,자체구입,D005,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2018-05-27,13597000,2018-05-31,중앙도서관,취득,6,8,확정,자체구입,D008,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2020-08-07,1141000,2020-09-22,산학협력단,취득,5,3,확정,자체구입,D009,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2023-09-21,1416000,2023-09-27,소프트웨어융합대학,취득,8,2,확정,자체구입,D001,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2023-11-04,5981000,2023-12-07,AI연구원,취득,10,8,확정,자체구입,D010,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2021-09-04,2010000,2021-10-24,중앙도서관,취득,10,10,확정,자체구입,D008,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2025-03-21,10442000,2025-03-22,산학협력단,취득,10,32,확정,자체구입,D009,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2017-05-28,1514000,2017-07-25,중앙도서관,취득,10,2,확정,자체구입,D008,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2022-10-16,228000,2022-12-05,인문대학,취득,5,1,확정,자체제작,D004,Dolore incidunt consectetur necessitatibus corrupti.
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2025-04-03,6019000,2025-04-06,경영대학,취득,7,2,확정,자체구입,D003,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2024-01-25,579000,2024-01-27,중앙도서관,취득,10,3,확정,자체구입,D008,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2017-08-07,6903000,2017-08-14,입학처,취득,6,7,확정,자체구입,D007,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2022-05-17,12186000,2022-07-06,시설팀,취득,6,7,확정,자체구입,D006,Beatae repellat unde occaecati autem dignissimos.
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2017-10-06,4192000,2017-11-10,소프트웨어융합대학,취득,10,18,확정,자체구입,D001,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2016-03-01,1386000,2016-04-03,입학처,취득,5,6,확정,자체구입,D007,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2015-06-15,1933000,2015-07-26,AI연구원,취득,5,6,확정,자체구입,D010,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2025-10-25,12205000,,경영대학,취득,6,7,대기,자체구입,D003,
4322260926066170,"라우터, Netgear, (US)PR60X",2025-08-29,557000,2025-09-29,AI연구원,취득,6,1,확정,자체구입,D010,Omnis suscipit eum repellat pariatur vel tempore.
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2019-06-25,2564000,2019-08-17,소프트웨어융합대학,취득,6,3,확정,자체구입,D001,Nesciunt eius soluta nobis nam qui sunt ducimus.
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2023-01-04,566000,2023-02-09,AI연구원,취득,5,9,확정,자체구입,D010,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2023-07-02,5514000,2023-08-16,입학처,취득,10,29,확정,자체구입,D007,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2016-06-29,9288000,2016-08-24,공과대학,취득,6,10,확정,자체구입,D002,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2016-11-15,385000,2016-11-16,총무팀,취득,5,7,확정,자체구입,D005,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2019-07-08,2170000,2019-07-11,산학협력단,취득,5,2,확정,자체구입,D009,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2017-06-29,1358000,2017-08-13,산학협력단,취득,5,4,확정,자체구입,D009,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2017-08-13,5197000,2017-08-15,공과대학,취득,5,4,확정,자체구입,D002,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2024-06-28,5842000,2024-06-30,경영대학,취득,10,36,확정,자체구입,D003,
