물품고유번호,Start_Date,End_Date,Is_Current,운용상태,사유,관리자
M201500817,2015-10-18,2015-11-02,False,취득,신규 취득,박대리
M201500817,2015-11-03,2019-10-05,False,운용,신규운용 승인 및 사용 시작,박대리
M201500817,2019-10-06,2019-11-11,False,불용,고장/파손,황팀장
M201500817,2019-11-12,2099-12-31,True,처분,폐기 완료,황팀장
M201500954,2015-09-30,2015-10-08,False,취득,신규 취득,박대리
M201500954,2015-10-09,2020-07-25,False,운용,신규운용 승인 및 사용 시작,박대리
M201500954,2020-07-26,2020-10-10,False,불용,노후화(성능저하),황팀장
M201500954,2020-10-11,2099-12-31,True,처분,폐기 완료,황팀장
M201500955,2015-09-30,2015-10-18,False,취득,신규 취득,박대리
M201500955,2015-10-19,2022-12-05,False,운용,신규운용 승인 및 사용 시작,박대리
M201500955,2022-12-06,2023-02-27,False,불용,고장/파손,황팀장
M201500955,2023-02-28,2099-12-31,True,처분,폐기 완료,황팀장
M201500956,2015-09-30,2015-10-26,False,취득,신규 취득,박대리
M201500956,2015-10-27,2021-10-28,False,운용,신규운용 승인 및 사용 시작,박대리
M201500956,2021-10-29,2022-02-06,False,불용,수리비용과다,황팀장
M201500956,2022-02-07,2099-12-31,True,처분,폐기 완료,황팀장
M201500957,2015-09-30,2015-10-13,False,취득,신규 취득,박대리
M201500957,2015-10-14,2020-04-18,False,운용,신규운용 승인 및 사용 시작,박대리
M201500957,2020-04-19,2020-07-27,False,불용,노후화(성능저하),황팀장
M201500957,2020-07-28,2099-12-31,True,처분,멸실 완료,황팀장
M201500958,2015-09-30,2015-10-23,False,취득,신규 취득,박대리
M201500958,2015-10-24,2023-02-09,False,운용,신규운용 승인 및 사용 시작,박대리
M201500958,2023-02-10,2099-12-31,True,불용,수리비용과다,황팀장
M201500959,2015-09-30,2099-12-31,True,취득,신규 취득,박대리
M201500960,2015-09-30,2015-10-12,False,취득,신규 취득,박대리
M201500960,2015-10-13,2022-12-23,False,운용,신규운용 승인 및 사용 시작,박대리
M201500960,2022-12-24,2023-03-28,False,불용,노후화(성능저하),황팀장
M201500960,2023-03-29,2099-12-31,True,처분,폐기 완료,황팀장
M201500961,2015-09-30,2015-10-08,False,취득,신규 취득,박대리
M201500961,2015-10-09,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500962,2015-09-30,2015-10-18,False,취득,신규 취득,박대리
M201500962,2015-10-19,2020-12-29,False,운용,신규운용 승인 및 사용 시작,박대리
M201500962,2020-12-30,2021-03-14,False,불용,수리비용과다,황팀장
M201500962,2021-03-15,2099-12-31,True,처분,폐기 완료,황팀장
M201500963,2015-09-30,2015-10-17,False,취득,신규 취득,박대리
M201500963,2015-10-18,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500964,2015-09-30,2015-10-21,False,취득,신규 취득,박대리
M201500964,2015-10-22,2018-05-31,False,운용,신규운용 승인 및 사용 시작,박대리
M201500964,2018-06-01,2018-08-16,False,불용,노후화(성능저하),황팀장
M201500964,2018-08-17,2099-12-31,True,처분,폐기 완료,황팀장
M201500965,2015-09-30,2015-10-10,False,취득,신규 취득,박대리
M201500965,2015-10-11,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500966,2015-09-30,2015-10-10,False,취득,신규 취득,박대리
M201500966,2015-10-11,2021-01-05,False,운용,신규운용 승인 및 사용 시작,박대리
M201500966,2021-01-06,2021-03-21,False,불용,수리비용과다,황팀장
M201500966,2021-03-22,2099-12-31,True,처분,폐기 완료,황팀장
M201500967,2015-09-30,2015-10-11,False,취득,신규 취득,박대리
M201500967,2015-10-12,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500968,2015-09-30,2015-10-14,False,취득,신규 취득,박대리
M201500968,2015-10-15,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500969,2015-09-30,2015-10-14,False,취득,신규 취득,박대리
M201500969,2015-10-15,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500970,2015-09-30,2015-10-23,False,취득,신규 취득,박대리
M201500970,2015-10-24,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500971,2015-09-30,2015-10-15,False,취득,신규 취득,박대리
M201500971,2015-10-16,2020-06-13,False,운용,신규운용 승인 및 사용 시작,박대리
M201500971,2020-06-14,2020-08-25,False,불용,노후화(성능저하),황팀장
M201500971,2020-08-26,2099-12-31,True,처분,폐기 완료,황팀장
M201500972,2015-09-30,2015-10-18,False,취득,신규 취득,박대리
M201500972,2015-10-19,2019-09-21,False,운용,신규운용 승인 및 사용 시작,박대리
M201500972,2019-09-22,2019-10-29,False,불용,고장/파손,황팀장
M201500972,2019-10-30,2099-12-31,True,처분,폐기 완료,황팀장
M201500973,2015-09-30,2015-10-21,False,취득,신규 취득,박대리
M201500973,2015-10-22,2020-01-05,False,운용,신규운용 승인 및 사용 시작,박대리
M201500973,2020-01-06,2020-03-05,False,불용,수리비용과다,황팀장
M201500973,2020-03-06,2099-12-31,True,처분,폐기 완료,황팀장
M201500974,2015-09-30,2015-10-04,False,취득,신규 취득,박대리
M201500974,2015-10-05,2022-02-24,False,운용,신규운용 승인 및 사용 시작,박대리
M201500974,2022-02-25,2022-04-29,False,불용,수리비용과다,황팀장
M201500974,2022-04-30,2099-12-31,True,처분,폐기 완료,황팀장
M201500975,2015-09-30,2015-10-12,False,취득,신규 취득,박대리
M201500975,2015-10-13,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500976,2015-09-30,2099-12-31,True,취득,신규 취득,박대리
M201500977,2015-09-30,2015-10-17,False,취득,신규 취득,박대리
M201500977,2015-10-18,2020-05-08,False,운용,신규운용 승인 및 사용 시작,박대리
M201500977,2020-05-09,2020-06-21,False,불용,고장/파손,황팀장
M201500977,2020-06-22,2099-12-31,True,처분,폐기 완료,황팀장
M201500978,2015-09-30,2015-10-19,False,취득,신규 취득,박대리
M201500978,2015-10-20,2021-01-07,False,운용,신규운용 승인 및 사용 시작,박대리
M201500978,2021-01-08,2021-02-19,False,불용,고장/파손,황팀장
M201500978,2021-02-20,2099-12-31,True,처분,폐기 완료,황팀장
M201500979,2015-09-30,2015-10-20,False,취득,신규 취득,박대리
M201500979,2015-10-21,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500980,2015-09-30,2015-10-10,False,취득,신규 취득,박대리
M201500980,2015-10-11,2021-06-13,False,운용,신규운용 승인 및 사용 시작,박대리
M201500980,2021-06-14,2021-07-17,False,불용,노후화(성능저하),황팀장
M201500980,2021-07-18,2099-12-31,True,처분,폐기 완료,황팀장
