G2B_목록번호,G2B_목록명,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,승인상태,취득정리구분,운용부서코드,비고,수량
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-04-11,1644000,2017-04-22,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-05-02,2171000,2017-05-13,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-06-06,2256000,2017-06-10,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-06-16,2093000,2017-06-24,,반납,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-06-16,2093000,2017-06-24,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-06-16,2093000,2017-06-24,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-08-03,5101000,2017-08-14,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-09-17,704000,2017-09-30,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-10-13,5416000,2017-10-17,,반납,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-10-13,5416000,2017-10-17,,불용,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-10-13,5416000,2017-10-17,,처분,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-10-13,5416000,2017-10-17,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-01-25,2996000,2018-02-05,,처분,6,확정,자체구입,A320,서버 증설용 스토리지,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-01-25,2996000,2018-02-05,학생지원팀(ERICA),운용,6,확정,자체구입,A320,서버 증설용 스토리지,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-04-06,766000,2018-04-20,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-07-14,6361000,2018-07-23,시설팀(ERICA),운용,6,확정,자체구입,A351,서버 증설용 스토리지,8
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-07-21,6455000,2018-07-28,,반납,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-07-21,6455000,2018-07-28,,처분,6,확정,자체구입,A351,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-07-21,6455000,2018-07-28,시설팀(ERICA),운용,6,확정,자체구입,A351,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-08-12,6231000,2018-08-26,,반납,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-08-12,6231000,2018-08-26,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-08-16,6276000,2018-08-24,,처분,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-08-16,6276000,2018-08-24,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-09-03,6963000,2018-09-12,,반납,6,확정,자체구입,C354,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-09-03,6963000,2018-09-12,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-09-09,3801000,2018-09-22,,처분,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-09-09,3801000,2018-09-22,시설팀(ERICA),운용,6,확정,자체구입,A351,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-09-09,6111000,2018-09-23,,반납,6,확정,자체구입,C360,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-09-09,6111000,2018-09-23,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-10-11,1486000,2018-10-19,시설팀(ERICA),운용,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-10-11,1486000,2018-10-19,시설팀(ERICA),취득,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-11-15,3031000,2018-11-25,,처분,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-11-15,3031000,2018-11-25,시설팀(ERICA),운용,6,확정,자체구입,A351,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-12-04,6946000,2018-12-12,,처분,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2018-12-04,6946000,2018-12-12,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,9
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-02-01,4537000,2019-02-10,,처분,6,확정,자체구입,C360,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-02-01,4537000,2019-02-10,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-02-21,720000,2019-03-03,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-03-09,3562000,2019-03-12,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-04-04,6471000,2019-04-16,,반납,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-04-04,6471000,2019-04-16,,처분,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-04-04,6471000,2019-04-16,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-04-28,2767000,2019-05-01,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-06-29,4499000,2019-07-06,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-07-04,3512000,2019-07-16,,처분,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-07-04,3512000,2019-07-16,시설팀(ERICA),운용,6,확정,자체구입,A351,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-07-04,3652000,2019-07-10,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-09-05,4936000,2019-09-09,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-09-11,4581000,2019-09-22,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-12-03,6317000,2019-12-14,,반납,6,확정,자체구입,C364,서버 증설용 스토리지,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-12-03,6317000,2019-12-14,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,서버 증설용 스토리지,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2019-12-21,4598000,2019-12-30,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,연구 데이터 저장용,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-01-07,4057000,2020-01-16,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,서버 증설용 스토리지,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-03-04,7256000,2020-03-11,,처분,6,확정,자체구입,C364,서버 증설용 스토리지,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-03-04,7256000,2020-03-11,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,서버 증설용 스토리지,9
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-04-24,3018000,2020-05-04,,불용,6,확정,자체구입,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-04-24,3018000,2020-05-04,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-04-27,1506000,2020-05-08,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-05-12,1397000,2020-05-24,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-06-20,6974000,2020-06-30,,반납,6,확정,자체구입,C360,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-06-20,6974000,2020-06-30,,처분,6,확정,자체구입,C360,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-06-20,6974000,2020-06-30,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-07-10,1526000,2020-07-19,,처분,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-07-10,1526000,2020-07-19,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-08-24,5634000,2020-08-30,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-09-08,5077000,2020-09-12,,반납,6,확정,자체구입,C354,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-09-08,5077000,2020-09-12,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-09-14,796000,2020-09-22,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-10-25,738000,2020-10-28,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2020-10-30,780000,2020-11-08,,처분,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-01,4384000,2021-01-11,,반납,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-01,4384000,2021-01-11,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-02,7369000,2021-01-10,,처분,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-02,7369000,2021-01-10,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,8
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-04,2409000,2021-01-08,,반납,6,확정,자체구입,C360,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-04,2409000,2021-01-08,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-01-28,2041000,2021-02-07,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-05-11,5073000,2021-05-19,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-05-15,699000,2021-05-20,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-05-17,1613000,2021-05-22,시설팀(ERICA),운용,6,확정,자체제작,A351,연구 데이터 저장용,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-05-27,6102000,2021-06-08,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,9
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-09-14,3562000,2021-09-20,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-09-22,1402000,2021-10-03,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-09-27,5092000,2021-10-11,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-09-30,2741000,2021-10-05,,처분,6,확정,자체구입,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-09-30,2741000,2021-10-05,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-11-25,3023000,2021-12-04,,반납,6,확정,자체구입,C360,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2021-11-25,3023000,2021-12-04,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2022-01-04,3156000,2022-01-10,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2022-01-12,712000,2022-01-15,학생지원팀(ERICA),운용,6,확정,기증,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2022-02-07,1628000,2022-02-15,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,서버 증설용 스토리지,2
