물품고유번호,G2B목록명,물품분류명,내용연수,취득금액,운용부서코드,취득일자,반납일자,불용일자,상태변화,불용사유,물품상태,처분방식,운용부서명,캠퍼스,운용연차,학습데이터여부,잔여내용연수,부서가혹도,누적사용부하,고장임박도,가격민감도,장비중요도,리드타임등급,실제잔여수명,예측잔여수명,(월별)고장예상수량,안전재고,필요수량,AI예측고장일,안전버퍼,권장발주일,예측실행일자,데이터세트구분,운용월수,취득월
M201500011,노트북컴퓨터,노트북컴퓨터,6,5635000,C354,2015-08-21,,2025-04-22,,수리비용과다,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,10.48,N,-4.48,1.3,13.62,1.0,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,127,8
M201500012,노트북컴퓨터,노트북컴퓨터,6,5635000,C354,2015-08-21,,2019-05-30,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.96,Y,2.04,1.3,5.15,0.44,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,48,8
M202200013,노트북컴퓨터,노트북컴퓨터,6,1248000,C354,2022-04-22,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.8,N,2.2,1.3,4.94,0.4,0.76,0.53,0,,,0,0,0,,0.0,,2026-02-08,Prediction,46,4
M201900014,노트북컴퓨터,노트북컴퓨터,6,2514000,C354,2019-07-08,,2025-03-03,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.88,Y,0.12,1.3,7.64,0.96,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Valid,71,7
M201900015,노트북컴퓨터,노트북컴퓨터,6,2514000,C354,2019-07-08,,2025-09-14,,수리비용과다,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,6.59,N,-0.59,1.3,8.57,1.0,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,80,7
M201900016,노트북컴퓨터,노트북컴퓨터,6,6055000,C354,2019-03-19,,2023-08-21,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.66,Y,1.34,1.3,6.06,0.6,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Valid,56,3
M201900017,노트북컴퓨터,노트북컴퓨터,6,6055000,C354,2019-03-19,,2023-06-02,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.42,Y,1.58,1.3,5.75,0.54,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Valid,53,3
M201900018,노트북컴퓨터,노트북컴퓨터,6,6055000,C354,2019-03-19,,2023-10-02,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.72,Y,1.28,1.3,6.14,0.62,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Valid,57,3
M201900019,노트북컴퓨터,노트북컴퓨터,6,6055000,C354,2019-03-19,,2023-05-27,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.44,Y,1.56,1.3,5.77,0.55,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Valid,54,3
M201900020,노트북컴퓨터,노트북컴퓨터,6,6055000,C354,2019-03-19,,2024-05-08,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.38,Y,0.62,1.3,6.99,0.8,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Valid,65,3
M202500021,노트북컴퓨터,노트북컴퓨터,6,3702000,C354,2025-11-23,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.21,N,5.79,1.3,0.27,0.0,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,2,11
M202500022,노트북컴퓨터,노트북컴퓨터,6,3702000,C354,2025-11-23,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.21,N,5.79,1.3,0.27,0.0,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,2,11
M202500023,노트북컴퓨터,노트북컴퓨터,6,3702000,C354,2025-11-23,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.21,N,5.79,1.3,0.27,0.0,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,2,11
M201500024,노트북컴퓨터,노트북컴퓨터,6,1091000,C354,2015-08-24,,2024-12-29,,노후화(성능저하),,,소프트웨어융합대학RC행정팀(ERICA),ERICA,10.47,N,-4.47,1.3,13.61,1.0,0.75,0.52,0,,,0,0,0,,0.0,,2026-02-08,Prediction,127,8
M202300025,노트북컴퓨터,노트북컴퓨터,6,2488000,C354,2023-07-26,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.54,N,3.46,1.3,3.3,0.18,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,30,7
M202300026,노트북컴퓨터,노트북컴퓨터,6,2488000,C354,2023-07-26,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.54,N,3.46,1.3,3.3,0.18,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,30,7
M201800027,노트북컴퓨터,노트북컴퓨터,6,6255000,C354,2018-01-13,,2022-02-06,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.39,Y,1.61,1.3,5.71,0.54,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,53,1
M201800028,노트북컴퓨터,노트북컴퓨터,6,6255000,C354,2018-01-13,,2022-08-31,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.93,Y,1.07,1.3,6.41,0.68,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,59,1
M201800029,노트북컴퓨터,노트북컴퓨터,6,6255000,C354,2018-01-13,,2021-05-07,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.56,Y,2.44,1.3,4.63,0.35,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,43,1
M201800030,노트북컴퓨터,노트북컴퓨터,6,6255000,C354,2018-01-13,,2021-07-16,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.81,Y,2.19,1.3,4.95,0.4,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,46,1
M201800031,노트북컴퓨터,노트북컴퓨터,6,6255000,C354,2018-01-13,,2022-02-19,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.16,N,1.84,1.3,5.41,0.48,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,50,1
M202400032,노트북컴퓨터,노트북컴퓨터,6,4149000,C354,2024-07-20,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.56,N,4.44,1.3,2.03,0.07,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Prediction,18,7
M202400033,노트북컴퓨터,노트북컴퓨터,6,4149000,C354,2024-07-20,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.56,N,4.44,1.3,2.03,0.07,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Prediction,18,7
M202400034,노트북컴퓨터,노트북컴퓨터,6,4149000,C354,2024-07-20,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.56,N,4.44,1.3,2.03,0.07,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Prediction,18,7
M201700035,노트북컴퓨터,노트북컴퓨터,6,3486000,C354,2017-05-24,,2022-12-25,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.84,Y,0.16,1.3,7.59,0.95,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,71,5
M201700036,노트북컴퓨터,노트북컴퓨터,6,3486000,C354,2017-05-24,,2022-12-06,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.72,Y,0.28,1.3,7.44,0.91,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,69,5
M201700037,노트북컴퓨터,노트북컴퓨터,6,3486000,C354,2017-05-24,,2020-07-21,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.45,Y,2.55,1.3,4.49,0.33,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,42,5
M202400038,노트북컴퓨터,노트북컴퓨터,6,3675000,C354,2024-06-23,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.63,N,4.37,1.3,2.12,0.07,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,19,6
M202400039,노트북컴퓨터,노트북컴퓨터,6,3675000,C354,2024-06-23,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.63,N,4.37,1.3,2.12,0.07,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,19,6
M202400040,노트북컴퓨터,노트북컴퓨터,6,3675000,C354,2024-06-23,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.63,N,4.37,1.3,2.12,0.07,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,19,6
M201500041,노트북컴퓨터,노트북컴퓨터,6,3693000,C354,2015-04-25,,2020-01-08,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.02,Y,0.98,1.3,6.53,0.7,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,61,4
M201500042,노트북컴퓨터,노트북컴퓨터,6,3693000,C354,2015-04-25,,2019-08-27,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.59,Y,1.41,1.3,5.97,0.59,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,55,4
M201500043,노트북컴퓨터,노트북컴퓨터,6,3693000,C354,2015-04-25,,2025-06-16,,수리비용과다,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,10.8,N,-4.8,1.3,14.04,1.0,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,131,4
M202300044,노트북컴퓨터,노트북컴퓨터,6,2488000,C354,2023-05-04,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.77,N,3.23,1.3,3.6,0.21,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,33,5
M202300045,노트북컴퓨터,노트북컴퓨터,6,2488000,C354,2023-05-04,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.77,N,3.23,1.3,3.6,0.21,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,33,5
M201700046,노트북컴퓨터,노트북컴퓨터,6,1216000,C354,2017-10-14,,2024-10-20,,수리비용과다,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,8.33,N,-2.33,1.3,10.83,1.0,0.76,0.53,0,,,0,0,0,,0.0,,2026-02-08,Prediction,101,10
M202500047,노트북컴퓨터,노트북컴퓨터,6,3843000,C354,2025-03-16,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.9,N,5.1,1.3,1.17,0.02,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,10,3
M202500048,노트북컴퓨터,노트북컴퓨터,6,3843000,C354,2025-03-16,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.9,N,5.1,1.3,1.17,0.02,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,10,3
M202500049,노트북컴퓨터,노트북컴퓨터,6,3843000,C354,2025-03-16,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.9,N,5.1,1.3,1.17,0.02,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,10,3
M201600050,노트북컴퓨터,노트북컴퓨터,6,3696000,C354,2016-12-11,,2020-03-10,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.52,Y,2.48,1.3,4.58,0.34,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,42,12
M201600051,노트북컴퓨터,노트북컴퓨터,6,3696000,C354,2016-12-11,,2021-04-24,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.63,Y,1.37,1.3,6.02,0.6,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,56,12
M201600052,노트북컴퓨터,노트북컴퓨터,6,3696000,C354,2016-12-11,,2019-06-05,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.56,N,3.44,1.3,3.33,0.18,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,31,12
M202300053,노트북컴퓨터,노트북컴퓨터,6,6615000,C354,2023-11-05,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.26,N,3.74,1.3,2.94,0.14,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,27,11
M202300054,노트북컴퓨터,노트북컴퓨터,6,6615000,C354,2023-11-05,,2025-11-20,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.08,N,3.92,1.3,2.7,0.12,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,25,11
M202300055,노트북컴퓨터,노트북컴퓨터,6,6615000,C354,2023-11-05,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.26,N,3.74,1.3,2.94,0.14,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,27,11
M202300056,노트북컴퓨터,노트북컴퓨터,6,6615000,C354,2023-11-05,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.26,N,3.74,1.3,2.94,0.14,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,27,11
M202300057,노트북컴퓨터,노트북컴퓨터,6,6615000,C354,2023-11-05,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.26,N,3.74,1.3,2.94,0.14,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,27,11
M201700058,노트북컴퓨터,노트북컴퓨터,6,5920000,C354,2017-02-05,,2021-06-11,,고장/파손,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,9.01,N,-3.01,1.3,11.71,1.0,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,109,2
M201700059,노트북컴퓨터,노트북컴퓨터,6,5920000,C354,2017-02-05,,2022-03-13,,고장/파손,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,9.01,N,-3.01,1.3,11.71,1.0,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,109,2
M201700060,노트북컴퓨터,노트북컴퓨터,6,5920000,C354,2017-02-05,,2022-12-26,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,6.13,Y,-0.13,1.3,7.97,1.0,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,74,2
M201700061,노트북컴퓨터,노트북컴퓨터,6,5920000,C354,2017-02-05,,2022-03-16,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.32,Y,0.68,1.3,6.92,0.79,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,64,2
M201700062,노트북컴퓨터,노트북컴퓨터,6,5920000,C354,2017-02-05,,2020-03-12,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.15,N,2.85,1.3,4.1,0.28,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,38,2
M202400063,노트북컴퓨터,노트북컴퓨터,6,2430000,C354,2024-02-15,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.98,N,4.02,1.3,2.57,0.11,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,24,2
M202400064,노트북컴퓨터,노트북컴퓨터,6,2430000,C354,2024-02-15,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.98,N,4.02,1.3,2.57,0.11,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,24,2
M201700065,노트북컴퓨터,노트북컴퓨터,6,5700000,C354,2017-11-19,,2021-09-30,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.08,Y,1.92,1.3,5.3,0.46,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,49,11
M201700066,노트북컴퓨터,노트북컴퓨터,6,5700000,C354,2017-11-19,,2020-08-06,,고장/파손,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,8.23,N,-2.23,1.3,10.7,1.0,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,100,11
M201700067,노트북컴퓨터,노트북컴퓨터,6,5700000,C354,2017-11-19,,2022-07-15,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.95,Y,1.05,1.3,6.44,0.68,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,60,11
M201700068,노트북컴퓨터,노트북컴퓨터,6,5700000,C354,2017-11-19,,2025-11-13,,고장/파손,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,8.23,N,-2.23,1.3,10.7,1.0,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,100,11
M201700069,노트북컴퓨터,노트북컴퓨터,6,5700000,C354,2017-11-19,,2022-05-12,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.78,Y,1.22,1.3,6.21,0.63,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,58,11
M202500070,노트북컴퓨터,노트북컴퓨터,6,1251000,C354,2025-10-15,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.32,N,5.68,1.3,0.42,0.0,0.76,0.53,0,,,0,0,0,,0.0,,2026-02-08,Prediction,3,10
M201500071,노트북컴퓨터,노트북컴퓨터,6,4388000,C354,2015-01-06,,2019-03-12,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.48,Y,1.52,1.3,5.82,0.56,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,54,1
M201500072,노트북컴퓨터,노트북컴퓨터,6,4388000,C354,2015-01-06,,2020-08-17,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.85,Y,0.15,1.3,7.6,0.95,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,71,1
M201500073,노트북컴퓨터,노트북컴퓨터,6,4388000,C354,2015-01-06,,2019-03-08,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.38,Y,1.62,1.3,5.69,0.53,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,53,1
M201500074,노트북컴퓨터,노트북컴퓨터,6,4388000,C354,2015-01-06,,2018-05-21,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.61,Y,2.39,1.3,4.69,0.36,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,43,1
M202100075,노트북컴퓨터,노트북컴퓨터,6,1236000,C354,2021-01-20,,2025-12-21,,고장/파손,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.05,N,0.95,1.3,6.56,0.71,0.76,0.53,0,,,0,0,0,,0.0,,2026-02-08,Prediction,61,1
M201700076,노트북컴퓨터,노트북컴퓨터,6,1157000,C354,2017-11-03,,2025-05-04,,수리비용과다,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,8.27,N,-2.27,1.3,10.75,1.0,0.76,0.53,0,,,0,0,0,,0.0,,2026-02-08,Prediction,100,11
M202500077,노트북컴퓨터,노트북컴퓨터,6,1343000,C354,2025-07-26,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.54,N,5.46,1.3,0.7,0.01,0.77,0.54,0,,,0,0,0,,0.0,,2026-02-08,Prediction,6,7
M201900078,노트북컴퓨터,노트북컴퓨터,6,1125000,C354,2019-05-14,,2024-09-15,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.56,Y,0.44,1.3,7.23,0.86,0.76,0.53,0,,,0,0,0,,0.0,,2026-02-08,Valid,67,5
M201500079,노트북컴퓨터,노트북컴퓨터,6,4520000,C354,2015-11-09,,2019-06-10,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.73,Y,2.27,1.3,4.85,0.39,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,45,11
M201500080,노트북컴퓨터,노트북컴퓨터,6,4520000,C354,2015-11-09,,2019-02-22,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.49,Y,2.51,1.3,4.54,0.34,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,42,11
M201500081,노트북컴퓨터,노트북컴퓨터,6,4520000,C354,2015-11-09,,2021-02-11,,수리비용과다,불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.47,Y,0.53,1.3,7.11,0.83,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,66,11
M201500082,노트북컴퓨터,노트북컴퓨터,6,4520000,C354,2015-11-09,,2018-07-20,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.95,Y,3.05,1.3,3.84,0.24,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Train,35,11
M202300083,노트북컴퓨터,노트북컴퓨터,6,5164000,C354,2023-09-06,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.43,N,3.57,1.3,3.16,0.16,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,29,9
M202300084,노트북컴퓨터,노트북컴퓨터,6,5164000,C354,2023-09-06,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.43,N,3.57,1.3,3.16,0.16,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,29,9
M202300085,노트북컴퓨터,노트북컴퓨터,6,5164000,C354,2023-09-06,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.43,N,3.57,1.3,3.16,0.16,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,29,9
M202300086,노트북컴퓨터,노트북컴퓨터,6,5164000,C354,2023-09-06,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,2.43,N,3.57,1.3,3.16,0.16,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,29,9
M201700087,노트북컴퓨터,노트북컴퓨터,6,3174000,C354,2017-02-20,,2021-06-17,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.64,Y,1.36,1.3,6.03,0.6,0.81,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,56,2
M201700088,노트북컴퓨터,노트북컴퓨터,6,3174000,C354,2017-02-20,,2022-04-27,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.4,Y,0.6,1.3,7.02,0.81,0.81,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,65,2
M201700089,노트북컴퓨터,노트북컴퓨터,6,3174000,C354,2017-02-20,,2025-06-15,,노후화(성능저하),,,소프트웨어융합대학RC행정팀(ERICA),ERICA,8.97,N,-2.97,1.3,11.66,1.0,0.81,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,109,2
M202400090,노트북컴퓨터,노트북컴퓨터,6,2630000,C354,2024-12-28,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.12,N,4.88,1.3,1.46,0.03,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,13,12
M202400091,노트북컴퓨터,노트북컴퓨터,6,2630000,C354,2024-12-28,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,1.12,N,4.88,1.3,1.46,0.03,0.8,0.56,0,,,0,0,0,,0.0,,2026-02-08,Prediction,13,12
M201800092,노트북컴퓨터,노트북컴퓨터,6,6005000,C354,2018-01-22,,2022-04-10,,고장/파손,폐품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.54,Y,1.46,1.3,5.9,0.57,0.85,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,55,1
